,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115385825,False,Операционный директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'село Вятское', 'street': 'Советская улица', 'building': '9', 'lat': 57.864041, 'lng': 40.268213, 'description': None, 'raw': 'село Вятское, Советская улица, 9', 'metro': None, 'metro_stations': [], 'id': '15323426'}",,,2025-01-13T11:12:46+0300,2025-01-13T11:12:46+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115385825,,,https://api.hh.ru/vacancies/115385825?host=hh.ru,https://hh.ru/vacancy/115385825,[],"{'id': '6170996', 'name': 'Курорт Вятское', 'url': 'https://api.hh.ru/employers/6170996', 'alternate_url': 'https://hh.ru/employer/6170996', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6868390.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1312033.jpg', '240': 'https://img.hhcdn.ru/employer-logo/6868391.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=6170996', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Подтвержденный успешный опыт управления гостиницей или сетью отелей (категории 4-5*, управление сетевыми отелями является преимуществом). Опыт работы с гостиничным...', 'responsibility': 'Формирование команды. Обеспечение эффективного взаимодействия всех подразделений и служб. Планирование и руководство операционной деятельностью отеля. Разработка, внедрение и поддержание высоких...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115402598,False,Управляющий филиалом/директор по развитию,,True,True,"{'id': '24', 'name': 'Волгоград', 'url': 'https://api.hh.ru/areas/24'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Волгоград', 'street': 'проспект Ленина', 'building': '66А', 'lat': 48.730671, 'lng': 44.542083, 'description': None, 'raw': 'Волгоград, проспект Ленина, 66А', 'metro': None, 'metro_stations': [], 'id': '701200'}",,,2025-01-13T12:39:39+0300,2025-01-13T12:39:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115402598,,,https://api.hh.ru/vacancies/115402598?host=hh.ru,https://hh.ru/vacancy/115402598,[],"{'id': '804411', 'name': 'Сияние', 'url': 'https://api.hh.ru/employers/804411', 'alternate_url': 'https://hh.ru/employer/804411', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/811574.jpg', '240': 'https://img.hhcdn.ru/employer-logo/3687184.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/3687183.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=804411', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы на руководящий должностях. Опыт управления коллективом. Понимание каналов продвижения, умение выстроить стратегию в зависимости от поставленных задач. ', 'responsibility': 'Выстраивание и отслеживание работы коллектива (<highlighttext>административный</highlighttext> и врачебный <highlighttext>персонал</highlighttext>). Отслеживание и обеспечение центра расходными материалам, общение с различными контрагентами, заключение...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115391130,False,Менеджер,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 80000, 'to': 120000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Садовая-Черногрязская улица', 'building': '3Бс1', 'lat': 55.767332, 'lng': 37.653056, 'description': None, 'raw': 'Москва, Садовая-Черногрязская улица, 3Бс1', 'metro': None, 'metro_stations': [], 'id': '15999739'}",,,2025-01-13T11:42:31+0300,2025-01-13T11:42:31+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115391130,,,https://api.hh.ru/vacancies/115391130?host=hh.ru,https://hh.ru/vacancy/115391130,[],"{'id': '8900677', 'name': 'StandUp_Msk', 'url': 'https://api.hh.ru/employers/8900677', 'alternate_url': 'https://hh.ru/employer/8900677', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/5490809.png', '90': 'https://img.hhcdn.ru/employer-logo/5490808.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/967924.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=8900677', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Умение самостоятельно принимать решения в критических ситуациях. Опыт работы от 1 года на должности менеджера. Опыт работы с социальными сетями...', 'responsibility': 'Коммуникация с площадками. Контроль мероприятий дня. Коммуникация с комиками. Сбор <highlighttext>административного</highlighttext> <highlighttext>персонала</highlighttext> на мероприятие. Контроль за размещением мероприятий на билетных...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}, {'id': 'HOURS_9', 'name': '9 часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '73', 'name': 'Менеджер продукта'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115329274,False,Территориальный управляющий,,False,False,"{'id': '49', 'name': 'Киров (Кировская область)', 'url': 'https://api.hh.ru/areas/49'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Киров', 'street': 'Пятницкая улица', 'building': '56', 'lat': 58.606675, 'lng': 49.666325, 'description': None, 'raw': 'Киров, Пятницкая улица, 56', 'metro': None, 'metro_stations': [], 'id': '13365904'}",,,2025-01-12T15:12:25+0300,2025-01-12T15:12:25+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115329274,,,https://api.hh.ru/vacancies/115329274?host=hh.ru,https://hh.ru/vacancy/115329274,[],"{'id': '9826302', 'name': 'Хлебница (ООО Витрина)', 'url': 'https://api.hh.ru/employers/9826302', 'alternate_url': 'https://hh.ru/employer/9826302', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6035206.png', '90': 'https://img.hhcdn.ru/employer-logo/6035205.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1103649.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9826302', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы на руководящей должности не менее 2 лет. Управленческий опыт в сфере торговли, продуктов питания или общественного питания будет...', 'responsibility': 'Обеспечением бесперебойной и эффективной работы пекарен (торговые объекты находятся в г.Киров). Выполнением планов продаж и производства. Поддержанием высокого уровня сервиса...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '35', 'name': 'Директор магазина, директор сети магазинов'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115079693,False,Администратор студии танцев,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 80000, 'to': 130000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Рочдельская улица', 'building': '15с8', 'lat': 55.756873, 'lng': 37.564886, 'description': None, 'raw': 'Москва, Рочдельская улица, 15с8', 'metro': {'station_name': 'Баррикадная', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.16', 'line_id': '7', 'lat': 55.760793, 'lng': 37.581242}, 'metro_stations': [{'station_name': 'Баррикадная', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.16', 'line_id': '7', 'lat': 55.760793, 'lng': 37.581242}, {'station_name': 'Краснопресненская', 'line_name': 'Кольцевая', 'station_id': '5.58', 'line_id': '5', 'lat': 55.760378, 'lng': 37.577114}, {'station_name': 'Улица 1905 года', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.146', 'line_id': '7', 'lat': 55.763944, 'lng': 37.562271}], 'id': '3720672'}",,,2025-01-08T08:33:37+0300,2025-01-08T08:33:37+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115079693,,,https://api.hh.ru/vacancies/115079693?host=hh.ru,https://hh.ru/vacancy/115079693,[],"{'id': '3190218', 'name': 'Adornos Center', 'url': 'https://api.hh.ru/employers/3190218', 'alternate_url': 'https://hh.ru/employer/3190218', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6873970.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1313428.jpg', '240': 'https://img.hhcdn.ru/employer-logo/6873971.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3190218', 'accredited_it_employer': False, 'trusted': True}","{'requirement': None, 'responsibility': 'Анализ потребностей и консультация госте. Повышение плана продаж. Ведение кассы 1С Фитнес. Принятие и отработка звонков/мессенджеров. '}",,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],True,[],[],"[{'id': 'OTHER', 'name': 'Другое'}]","[{'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",False,"[{'id': '8', 'name': 'Администратор'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115187905,False,Руководитель учебного центра,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 250000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-09T19:26:38+0300,2025-01-09T19:26:38+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115187905,,,https://api.hh.ru/vacancies/115187905?host=hh.ru,https://hh.ru/vacancy/115187905,[],"{'id': '4887922', 'name': 'Мединвестгрупп', 'url': 'https://api.hh.ru/employers/4887922', 'alternate_url': 'https://hh.ru/employer/4887922', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/781535.jpg', '240': 'https://img.hhcdn.ru/employer-logo/3567032.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/3567031.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4887922', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Профильный опыт работы по созданию учебного центра с 0 (опыт работы в медицине приветствуется). Ориентация на результат и достижение бизнес...', 'responsibility': 'Создание учебного центра под запросы ключевых целевых аудиторий (<highlighttext>административный</highlighttext> <highlighttext>персонал</highlighttext>, доктора, средний медицинский персонал). Формирование эффективных образовательных программ для достижения...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '132', 'name': 'Учитель, преподаватель, педагог'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115222078,False,Директор по персоналу,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Бронницы', 'street': 'Кирпичный проезд', 'building': '7', 'lat': 55.410944, 'lng': 38.278687, 'description': None, 'raw': 'Бронницы, Кирпичный проезд, 7', 'metro': None, 'metro_stations': [], 'id': '3886940'}",,,2025-01-10T10:21:53+0300,2025-01-10T10:21:53+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115222078,,,https://api.hh.ru/vacancies/115222078?host=hh.ru,https://hh.ru/vacancy/115222078,[],"{'id': '1271', 'name': 'Морозко', 'url': 'https://api.hh.ru/employers/1271', 'alternate_url': 'https://hh.ru/employer/1271', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/233014.JPG', '90': 'https://img.hhcdn.ru/employer-logo/308870.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/381727.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1271', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Практический опыт работы на должности директора по персоналу/руководителя/hr-generalist от 3 лет в производственно-торговых компаниях, с численностью...', 'responsibility': 'Контроль кадрового делопроизводства. Аналитика потребностей компании в найме <highlighttext>административного</highlighttext> <highlighttext>персонала</highlighttext>: анализ рынка труда и заработных плат, составление плана найма, штатного...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '38', 'name': 'Директор по персоналу (HRD)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115066569,False,Помощник психолога / помощник руководителя,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 92000, 'to': 120000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-06T18:12:39+0300,2025-01-06T18:12:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115066569,,,https://api.hh.ru/vacancies/115066569?host=hh.ru,https://hh.ru/vacancy/115066569,[],"{'id': '9195843', 'name': 'Веклов Сергей Владимирович', 'url': 'https://api.hh.ru/employers/9195843', 'alternate_url': 'https://hh.ru/employer/9195843', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1008267.jpg', '90': 'https://img.hhcdn.ru/employer-logo/5653844.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/5653845.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9195843', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'ответственность. - желание работать с людьми. - готовность обучаться новому и расти по карьере.', 'responsibility': 'помощь руководителю в организации работы офиса, решение <highlighttext>административных</highlighttext> вопросов. - оценка <highlighttext>персонала</highlighttext> при приёме на работу. - адаптация и поддержка новых сотрудников. - '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}, {'id': 'HOURS_9', 'name': '9 часов'}, {'id': 'HOURS_10', 'name': '10\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}, {'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115402902,False,Управляющий филиалом/директор по развитию,,True,True,"{'id': '78', 'name': 'Самара', 'url': 'https://api.hh.ru/areas/78'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Самара', 'street': 'Воронежская улица', 'building': '7', 'lat': 53.217376, 'lng': 50.255081, 'description': None, 'raw': 'Самара, Воронежская улица, 7', 'metro': {'station_name': 'Безымянка', 'line_name': 'Первая', 'station_id': '54.313', 'line_id': '54', 'lat': 53.212997, 'lng': 50.248891}, 'metro_stations': [{'station_name': 'Безымянка', 'line_name': 'Первая', 'station_id': '54.313', 'line_id': '54', 'lat': 53.212997, 'lng': 50.248891}], 'id': '10674164'}",,,2025-01-13T12:42:03+0300,2025-01-13T12:42:03+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115402902,,,https://api.hh.ru/vacancies/115402902?host=hh.ru,https://hh.ru/vacancy/115402902,[],"{'id': '804411', 'name': 'Сияние', 'url': 'https://api.hh.ru/employers/804411', 'alternate_url': 'https://hh.ru/employer/804411', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/811574.jpg', '240': 'https://img.hhcdn.ru/employer-logo/3687184.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/3687183.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=804411', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы на руководящий должностях. Опыт управления коллективом. Понимание каналов продвижения, умение выстроить стратегию в зависимости от поставленных задач. ', 'responsibility': 'Выстраивание и отслеживание работы коллектива (<highlighttext>административный</highlighttext> и врачебный <highlighttext>персонал</highlighttext>). Отслеживание и обеспечение центра расходными материалам, общение с различными контрагентами, заключение...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115096397,False,Управляющий/Управляющая салоном красоты (барбершопом),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 150000, 'to': 220000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-09T00:39:51+0300,2025-01-09T00:39:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115096397,,,https://api.hh.ru/vacancies/115096397?host=hh.ru,https://hh.ru/vacancy/115096397,[],"{'id': '5161599', 'name': 'Несютина Ксения Николаевна', 'url': 'https://api.hh.ru/employers/5161599', 'alternate_url': 'https://hh.ru/employer/5161599', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5161599', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы от 1 года в индустрии красоты на руководящей позиции. Желательно управление салоном известных франшиз: Олд бой, Топган, Персона...', 'responsibility': 'Контроль финансовой дисциплины, отчетов и продаж <highlighttext>административного</highlighttext> <highlighttext>персонала</highlighttext>. Контроль за соблюдением санитарно-гигиенических норм и правил. Участие в решении всех...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",True,,False,
