,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,branding,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115398730,False,"Специалист по дистанционной работе с клиентами (Санкт-Петербург, ЛО)",,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T12:13:54+0300,2025-01-13T12:13:54+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115398730,"{'type': 'MAKEUP', 'tariff': None}",True,,https://api.hh.ru/vacancies/115398730?host=hh.ru,https://hh.ru/vacancy/115398730,[],"{'id': '1180', 'name': 'Bayer', 'url': 'https://api.hh.ru/employers/1180', 'alternate_url': 'https://hh.ru/employer/1180', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/767251.png', '90': 'https://img.hhcdn.ru/employer-logo/3509961.png', '240': 'https://img.hhcdn.ru/employer-logo/3509962.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1180', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее или среднее-специальное образование в области медицины, фармацевтики или естественных <highlighttext>наук</highlighttext>. Непрофильное высшее образование при наличии релевантного опыта в...', 'responsibility': 'Продвижение безрецептурных препаратов среди врачей и аптек. Осуществление дистанционных визитов (аудио, видео-звонки, рассылки) клиентам. Проведение и участие в медицинских...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '70', 'name': 'Менеджер по продажам, менеджер по работе с клиентами'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115382079,False,GR manager (фармацевтическая компания),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 400000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Люблинско-Дмитровская линия', 'building': 'метро Трубная', 'lat': 55.767939, 'lng': 37.621884, 'description': None, 'raw': 'Москва, Люблинско-Дмитровская линия, метро Трубная', 'metro': {'station_name': 'Трубная', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.177', 'line_id': '10', 'lat': 55.76771, 'lng': 37.621926}, 'metro_stations': [{'station_name': 'Трубная', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.177', 'line_id': '10', 'lat': 55.76771, 'lng': 37.621926}], 'id': '1215998'}",,,2025-01-13T10:54:52+0300,2025-01-13T10:54:52+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115382079,,,,https://api.hh.ru/vacancies/115382079?host=hh.ru,https://hh.ru/vacancy/115382079,[],"{'id': '132302', 'name': 'Alta Personnel', 'url': 'https://api.hh.ru/employers/132302', 'alternate_url': 'https://hh.ru/employer/132302', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/3344341.png', '90': 'https://img.hhcdn.ru/employer-logo/3344340.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/725813.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=132302', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Higher education in political <highlighttext>science</highlighttext>, public administration, public relations, public communications, sociology, law or healthcare. Experience in government relations, public...', 'responsibility': ""The implementation of official communication between the company and regulatory authorities ensures the partial formation of the company's positions...""}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115095647,False,Специалист в подведомственную организацию Департамента образования и науки города Москвы,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 170000, 'to': 180000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Большая Спасская улица', 'building': '15с1', 'lat': 55.774411, 'lng': 37.639716, 'description': None, 'raw': 'Москва, Большая Спасская улица, 15с1', 'metro': None, 'metro_stations': [], 'id': '16338069'}",,,2025-01-08T21:59:15+0300,2025-01-08T21:59:15+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115095647,,,,https://api.hh.ru/vacancies/115095647?host=hh.ru,https://hh.ru/vacancy/115095647,[],"{'id': '11344881', 'name': 'Департамент образования и науки города Москвы', 'url': 'https://api.hh.ru/employers/11344881', 'alternate_url': 'https://hh.ru/employer/11344881', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11344881', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы приветствуется. Грамотная письменная и устная речь. Коммуникабельность, умение работать с большим объемом информации и соблюдать дедлайны. ', 'responsibility': 'Все специальные проекты в части эксплуатации (программа спорт ядер, катков, стандарт уборки и т.д. + подготовка всех презентационных материалов...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '79', 'name': 'Научный специалист, исследователь'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115000222,False,Медицинская сестра палатная/Медицинский брат палатный в психиатрическое отделение стационара (1/4),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 82000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Потешная улица', 'building': '3', 'lat': 55.799087, 'lng': 37.703281, 'description': None, 'raw': 'Москва, Потешная улица, 3', 'metro': None, 'metro_stations': [], 'id': '611967'}",,,2024-12-29T11:29:59+0300,2024-12-29T11:29:59+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115000222,,,,https://api.hh.ru/vacancies/115000222?host=hh.ru,https://hh.ru/vacancy/115000222,[],"{'id': '2151024', 'name': 'ГБУЗ ПКБ №4 им. П. Б. Ганнушкина ДЗМ', 'url': 'https://api.hh.ru/employers/2151024', 'alternate_url': 'https://hh.ru/employer/2151024', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2151024', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Законченное среднее профессиональное образование по специальности ""Лечебное дело"", ""Акушерское дело"", ""Сестринское дело"". Действующий сертификат/аккредитация по специальности «Сестринское дело», наличие...', 'responsibility': 'Осуществление ухода и наблюдения за больными на основе принципов медицинской деонтологии. Своевременное и точное выполнение назначений лечащего врача. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_24', 'name': '24\xa0часа'}]","[{'id': 'OTHER', 'name': 'Другое'}]",True,"[{'id': '64', 'name': 'Медицинская сестра, медицинский брат'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115224023,False,Специалист Департамента по работе с регионами,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 140000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Пятницкая улица', 'building': '74с1', 'lat': 55.73153518910342, 'lng': 37.6248877815798, 'description': None, 'raw': 'Москва, Пятницкая улица, 74с1', 'metro': None, 'metro_stations': [], 'id': '11706192'}",,,2025-01-10T10:34:58+0300,2025-01-10T10:34:58+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115224023,,,,https://api.hh.ru/vacancies/115224023?host=hh.ru,https://hh.ru/vacancy/115224023,[],"{'id': '3744247', 'name': 'Российское общество Знание', 'url': 'https://api.hh.ru/employers/3744247', 'alternate_url': 'https://hh.ru/employer/3744247', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/941667.png', '240': 'https://img.hhcdn.ru/employer-logo/4207209.png', '90': 'https://img.hhcdn.ru/employer-logo/4207208.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3744247', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование (приоритетный профиль: государственное и муниципальное управление). Релевантный опыт работы на государственной или муниципальной службе, в бюджетных учреждениях сферы...', 'responsibility': 'Планирование и координация работы Управлений по развитию просветительской деятельности в федеральных округах. Определение наиболее перспективных векторов работы. Постановка задач для...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115414003,False,Технический директор,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Кудрово', 'street': 'проспект Строителей', 'building': '35', 'lat': 59.898011, 'lng': 30.5216, 'description': None, 'raw': 'Кудрово, проспект Строителей, 35', 'metro': {'station_name': 'Улица Дыбенко', 'line_name': 'Лахтинско-Правобережная', 'station_id': '17.244', 'line_id': '17', 'lat': 59.907417, 'lng': 30.483311}, 'metro_stations': [{'station_name': 'Улица Дыбенко', 'line_name': 'Лахтинско-Правобережная', 'station_id': '17.244', 'line_id': '17', 'lat': 59.907417, 'lng': 30.483311}], 'id': '15340156'}",,,2025-01-13T14:02:17+0300,2025-01-13T14:02:17+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115414003,,,,https://api.hh.ru/vacancies/115414003?host=hh.ru,https://hh.ru/vacancy/115414003,[],"{'id': '9708621', 'name': 'Стратегия Рост', 'url': 'https://api.hh.ru/employers/9708621', 'alternate_url': 'https://hh.ru/employer/9708621', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6001281.png', '240': 'https://img.hhcdn.ru/employer-logo/6001282.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1095165.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9708621', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Высшее образование в области строительства, архитектуры или инженерных <highlighttext>наук</highlighttext>. Опыт работы на аналогичной позиции от 5 лет. Знание современных технологий...', 'responsibility': 'Управление техническим направлением компании, включая проектирование и эксплуатацию объектов недвижимости. Разработка и реализация технической стратегии компании. Координация работы подрядчиков и...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '125', 'name': 'Технический директор (CTO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115392717,False,Middle JavaScript-разработчик,,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': 250000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T13:15:47+0300,2025-01-13T13:15:47+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115392717,,,,https://api.hh.ru/vacancies/115392717?host=hh.ru,https://hh.ru/vacancy/115392717,[],"{'id': '2675795', 'name': 'Перформикс', 'url': 'https://api.hh.ru/employers/2675795', 'alternate_url': 'https://hh.ru/employer/2675795', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/5988665.png', '240': 'https://img.hhcdn.ru/employer-logo/5988666.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1092011.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2675795', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Обладает коммерческим опытом разработки браузерных расширений (с использованием React, MobX). Знает основы computer <highlighttext>science</highlighttext> — алгоритмы и структуры данных. ', 'responsibility': 'Участвовать в разработке расширений. Поддерживать библиотеки в актуальном состоянии, оптимизировать их производительность и безопасность. Разрабатывать новые функции и рефакторить код...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115242946,False,Ведущий специалист Управления нормативного обеспечения Департамента по работе на ОРЭМ,,False,False,"{'id': '54', 'name': 'Красноярск', 'url': 'https://api.hh.ru/areas/54'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-10T13:09:57+0300,2025-01-10T13:09:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115242946,,,,https://api.hh.ru/vacancies/115242946?host=hh.ru,https://hh.ru/vacancy/115242946,[],"{'id': '8434', 'name': 'РусГидро', 'url': 'https://api.hh.ru/employers/8434', 'alternate_url': 'https://hh.ru/employer/8434', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/384237.png', '90': 'https://img.hhcdn.ru/employer-logo/311380.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/230249.gif'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=8434', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование по направлению «Экономика» или направлениям области образования «Инженерное дело, технологии и технические <highlighttext>науки</highlighttext>», уровень – специалитет или магистратура. ', 'responsibility': 'Подготовка предложений (правок) в проекты и действующие федеральные законы, постановления Правительства и иные НПА и регламентирующие документы в области рынков...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115130985,False,Главный специалист Департамента по работе с регионами,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 150000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Пятницкая улица', 'building': '74с1', 'lat': 55.73153518910342, 'lng': 37.6248877815798, 'description': None, 'raw': 'Москва, Пятницкая улица, 74с1', 'metro': None, 'metro_stations': [], 'id': '11706192'}",,,2025-01-09T11:53:56+0300,2025-01-09T11:53:56+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115130985,,,"{'id': '33359', 'url': 'https://hh.ru/interview/33359?employerId=3744247'}",https://api.hh.ru/vacancies/115130985?host=hh.ru,https://hh.ru/vacancy/115130985,[],"{'id': '3744247', 'name': 'Российское общество Знание', 'url': 'https://api.hh.ru/employers/3744247', 'alternate_url': 'https://hh.ru/employer/3744247', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/941667.png', '240': 'https://img.hhcdn.ru/employer-logo/4207209.png', '90': 'https://img.hhcdn.ru/employer-logo/4207208.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3744247', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование. Опыт написания технического задания и ведения отчетности по расходованию грантовых средств или опыт работы с бюджетным финансированием (в...', 'responsibility': 'Подготовка и внесение изменений в проекты, планы расходов, движения денежных средств, сметы проектов, план-графики и т.д. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'OTHER', 'name': 'Другое'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '132', 'name': 'Учитель, преподаватель, педагог'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,110286826,False,Intern Data Analyst / Стажер - аналитик данных,"{'id': '4949-4949-stud', 'name': '«Procter & Gamble», Студент'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Ленинградское шоссе', 'building': '16ас2', 'lat': 55.821573, 'lng': 37.498725, 'description': None, 'raw': 'Москва, Ленинградское шоссе, 16ас2', 'metro': {'station_name': 'Войковская', 'line_name': 'Замоскворецкая', 'station_id': '2.30', 'line_id': '2', 'lat': 55.818923, 'lng': 37.497791}, 'metro_stations': [{'station_name': 'Войковская', 'line_name': 'Замоскворецкая', 'station_id': '2.30', 'line_id': '2', 'lat': 55.818923, 'lng': 37.497791}], 'id': '151759'}",,,2024-12-07T09:20:16+0300,2024-12-07T09:20:16+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110286826,,,,https://api.hh.ru/vacancies/110286826?host=hh.ru,https://hh.ru/vacancy/110286826,[],"{'id': '4949', 'name': 'Procter & Gamble', 'url': 'https://api.hh.ru/employers/4949', 'alternate_url': 'https://hh.ru/employer/4949', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/367861.jpg', '90': 'https://img.hhcdn.ru/employer-logo/1913702.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/1913703.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4949', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Education in Statistics, Mathematics, Applied Informatics, Data <highlighttext>Science</highlighttext>, Business Management or similar areas would be considered an advantage. ', 'responsibility': 'Establish and improve analytical program or tool and present the progress and results of your business unit/category/region to...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
