,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115445870,False,Семейный водитель,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 145000, 'to': 160000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T18:22:39+0300,2025-01-13T18:22:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115445870,,,https://api.hh.ru/vacancies/115445870?host=hh.ru,https://hh.ru/vacancy/115445870,[],"{'id': '718803', 'name': 'Стайнесс', 'url': 'https://api.hh.ru/employers/718803', 'alternate_url': 'https://hh.ru/employer/718803', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/806856.png', '90': 'https://img.hhcdn.ru/employer-logo/806855.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/147288.gif'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=718803', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Личные качества: чистоплотный, дисциплинированный, соблюдающий субординацию, технически-подкован. Дополнительное <highlighttext>образование</highlighttext> и подготовка по профессии приветствуются. Рекомендации с предыдущих мест работы...', 'responsibility': 'Закупка продуктов, химчистка, выполнение мелких поручений.'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],[],"[{'id': 'HOURS_10', 'name': '10\xa0часов'}, {'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'THREE_ON_THREE_OFF', 'name': '3/3'}, {'id': 'THREE_ON_TWO_OFF', 'name': '3/2'}, {'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",False,"[{'id': '21', 'name': 'Водитель'}]",True,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'part', 'name': 'Частичная занятость'}","{'id': 'PART', 'name': 'Частичная'}",False,,False,
1,115447996,False,Финансовый менеджер,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 250000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Театральная аллея', 'building': '3с1', 'lat': 55.793227, 'lng': 37.559883, 'description': None, 'raw': 'Москва, Театральная аллея, 3с1', 'metro': {'station_name': 'Динамо', 'line_name': 'Замоскворецкая', 'station_id': '2.34', 'line_id': '2', 'lat': 55.789704, 'lng': 37.558212}, 'metro_stations': [{'station_name': 'Динамо', 'line_name': 'Замоскворецкая', 'station_id': '2.34', 'line_id': '2', 'lat': 55.789704, 'lng': 37.558212}], 'id': '873037'}",,,2025-01-13T18:48:25+0300,2025-01-13T18:48:25+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115447996,,,https://api.hh.ru/vacancies/115447996?host=hh.ru,https://hh.ru/vacancy/115447996,[],"{'id': '644', 'name': 'Галактика', 'url': 'https://api.hh.ru/employers/644', 'alternate_url': 'https://hh.ru/employer/644', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/3269368.png', '240': 'https://img.hhcdn.ru/employer-logo/3269369.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/707063.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=644', 'accredited_it_employer': True, 'trusted': True}","{'requirement': '<highlighttext>Образование</highlighttext> высшее профильное (Экономика, Финансовый менеджмент). Опыт работы: не менее 2-х лет опыта в финансовом подразделении крупной компании. ', 'responsibility': 'Сбор, обработка, анализ финансовых и нефинансовых показателей деятельности, расчет метрик эффективности бизнеса и юнит-экономики в разрезе продуктов, проектов, клиентов. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '137', 'name': 'Финансовый менеджер'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115408436,False,Директор по управлению проектами (PMO Director),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 950000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T13:20:04+0300,2025-01-13T13:20:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115408436,True,,https://api.hh.ru/vacancies/115408436?host=hh.ru,https://hh.ru/vacancy/115408436,[],"{'id': '4174077', 'name': 'StaffRecruitment', 'url': 'https://api.hh.ru/employers/4174077', 'alternate_url': 'https://hh.ru/employer/4174077', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/663804.png', '240': 'https://img.hhcdn.ru/employer-logo/3096349.png', '90': 'https://img.hhcdn.ru/employer-logo/3096348.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4174077', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Лидерские качества, способности к мотивации команды и созданию эффективных рабочих отношений. Высшее <highlighttext>образование</highlighttext>, предпочтительно в области управления, экономики, инженерии или...', 'responsibility': 'Формирование и внедрение стратегических принципов и стандартов управления проектами для всей компании. Координация и руководство комплексом проектов, определение приоритетов и...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],[],"[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'FLEXIBLE', 'name': 'Свободный'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115437064,False,Личный водитель,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 150000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Пресненская набережная', 'building': '10с2', 'lat': 55.747622, 'lng': 37.535071, 'description': None, 'raw': 'Москва, Пресненская набережная, 10с2', 'metro': None, 'metro_stations': [], 'id': '6821140'}",,,2025-01-13T16:48:36+0300,2025-01-13T16:48:36+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115437064,,,https://api.hh.ru/vacancies/115437064?host=hh.ru,https://hh.ru/vacancy/115437064,[],"{'id': '5009385', 'name': 'Такс Комплаенс', 'url': 'https://api.hh.ru/employers/5009385', 'alternate_url': 'https://hh.ru/employer/5009385', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/790066.png', '240': 'https://img.hhcdn.ru/employer-logo/3601156.png', '90': 'https://img.hhcdn.ru/employer-logo/3601155.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5009385', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Хорошее знание города Москвы. Среднее профессиональное/высшее <highlighttext>образование</highlighttext>. Опыт практической работы от 5 лет. Знание правил этикета. Презентабельный внешний вид. ', 'responsibility': 'Обеспечение профессионального вождения, комфортного сопровождения работодателя на автомобиле. Заблаговременное планирование оптимального маршрута движения, подача автомобиля в назначенное работодателем место и...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '21', 'name': 'Водитель'}]",True,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115401836,False,Специалист («Газпром межрегионгаз Уфа»),,False,False,"{'id': '99', 'name': 'Уфа', 'url': 'https://api.hh.ru/areas/99'}","{'from': 50000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Уфа', 'street': 'Новосибирская улица', 'building': '2к4', 'lat': 54.752464, 'lng': 55.975831, 'description': None, 'raw': 'Уфа, Новосибирская улица, 2к4', 'metro': None, 'metro_stations': [], 'id': '7504898'}",,,2025-01-13T12:33:00+0300,2025-01-13T12:33:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115401836,,,https://api.hh.ru/vacancies/115401836?host=hh.ru,https://hh.ru/vacancy/115401836,[],"{'id': '579604', 'name': 'Газпром газораспределение Уфа', 'url': 'https://api.hh.ru/employers/579604', 'alternate_url': 'https://hh.ru/employer/579604', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=579604', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее <highlighttext>образование</highlighttext>, желательно экономическое. Навыки работы с программными продуктами пакета MS Office. Самостоятельность, коммуникабельность, аккуратность, внимательность, умение разбираться в новых...', 'responsibility': 'Выгрузка договоров и дополнительных соглашений из системы 1С в систему SAP. Ведение учета договоров, дополнительных соглашений. Взаимодействие с работниками...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115402915,False,Юрист общей практики в крупный холдинг,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 250000, 'to': 250000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T12:50:19+0300,2025-01-13T12:50:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115402915,,,https://api.hh.ru/vacancies/115402915?host=hh.ru,https://hh.ru/vacancy/115402915,[],"{'id': '5113582', 'name': 'ЮТИМ', 'url': 'https://api.hh.ru/employers/5113582', 'alternate_url': 'https://hh.ru/employer/5113582', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1074198.png', '240': 'https://img.hhcdn.ru/employer-logo/5917422.png', '90': 'https://img.hhcdn.ru/employer-logo/5917421.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5113582', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое <highlighttext>образование</highlighttext>. Опыт работы юристом от 3-х лет в аналогичной сфере желательно в транспортных компаниях .', 'responsibility': 'Функционал: Юридическое сопровождение деятельности Общества. Ведение договорной деятельности, включая разработку, согласование и заключение договоров различных направлений(оказание услуг, выполнение работа...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '146', 'name': 'Юрист'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115441484,False,Руководитель команды по развитию ключевых клиентов,"{'id': 'yandex-1740-yandex', 'name': 'Яндекс'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T17:37:57+0300,2025-01-13T17:37:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115441484,,,https://api.hh.ru/vacancies/115441484?host=hh.ru,https://hh.ru/vacancy/115441484,[],"{'id': '1740', 'name': 'Яндекс', 'url': 'https://api.hh.ru/employers/1740', 'alternate_url': 'https://hh.ru/employer/1740', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/3790847.png', '240': 'https://img.hhcdn.ru/employer-logo/3790848.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/837491.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1740', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы от 3 лет руководителем команды по работе с ключевыми клиентами /РОП. Опыт работы по развитию проектов. ', 'responsibility': 'Формировать и реализовывать стратегии развития ключевых партнеров. Придумывать и запускать совместные проекты. Выстраивать долгосрочные партнерские отношения. Управлять командой менеджеров.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}, {'id': 'FLEXIBLE', 'name': 'Свободный'}]",False,"[{'id': '70', 'name': 'Менеджер по продажам, менеджер по работе с клиентами'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115432054,False,Секретарь на ресепшн в офис,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:19:55+0300,2025-01-13T16:19:55+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115432054,,,https://api.hh.ru/vacancies/115432054?host=hh.ru,https://hh.ru/vacancy/115432054,[],"{'id': '1432548', 'name': 'ГК Асеньевское молоко', 'url': 'https://api.hh.ru/employers/1432548', 'alternate_url': 'https://hh.ru/employer/1432548', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/1506363.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/265958.png', '90': 'https://img.hhcdn.ru/employer-logo/1506362.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1432548', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Законченное высшее <highlighttext>образование</highlighttext>. - Опыт работы в должности секретаря. - Готовность быть на связи 24/7. - Умение вести деловую переписку и телефонные...', 'responsibility': 'Встреча гостей. - Чай, кофе. - Обеспечение необходимой информационной поддержкой. - Подготовка материалов к встречам. - Курирование и контроль исполнения поручений руководителя. - '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}]",False,"[{'id': '110', 'name': 'Секретарь, помощник руководителя, ассистент'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115427058,False,Руководитель юридического направления,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 500000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'lat': None, 'lng': None, 'description': None, 'raw': None, 'metro': {'station_name': 'Деловой центр', 'line_name': 'Большая кольцевая линия', 'station_id': '97.603', 'line_id': '97', 'lat': 55.7491, 'lng': 37.5395}, 'metro_stations': [{'station_name': 'Деловой центр', 'line_name': 'Большая кольцевая линия', 'station_id': '97.603', 'line_id': '97', 'lat': 55.7491, 'lng': 37.5395}, {'station_name': 'Деловой центр (Выставочная)', 'line_name': 'Филевская', 'station_id': '4.172', 'line_id': '4', 'lat': 55.750243, 'lng': 37.542641}], 'id': '2513603'}",,,2025-01-13T15:44:37+0300,2025-01-13T15:44:37+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115427058,,,https://api.hh.ru/vacancies/115427058?host=hh.ru,https://hh.ru/vacancy/115427058,[],"{'id': '98302', 'name': 'Кадровое Агентство Уникальных Специалистов', 'url': 'https://api.hh.ru/employers/98302', 'alternate_url': 'https://hh.ru/employer/98302', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/331708.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/210116.gif', '240': 'https://img.hhcdn.ru/employer-logo/404565.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=98302', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое <highlighttext>образование</highlighttext>. Опыт работы не менее 5-ти лет в отраслях: нефте-сервис / тяжелое машиностроение / производство (НИОКРЫ) в должностях...', 'responsibility': 'Правовое сопровождение проектов в направлении слияний и поглощений, в том числе международное партнерство. Правовое сопровождение проектов по приобретению и продаже...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '166', 'name': 'Директор юридического департамента (CLO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115433873,False,Исполнительный директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 700000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:29:47+0300,2025-01-13T16:29:47+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115433873,,,https://api.hh.ru/vacancies/115433873?host=hh.ru,https://hh.ru/vacancy/115433873,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'высшее <highlighttext>образование</highlighttext> . -опыт работы в руководящей должности в компании численностью не менее 50 человек. -релевантный управленческий опыт не менее 5...', 'responsibility': 'реализация стратегии компании. -увеличение выручки, прибыли и показателей рентабельности. -установление связей с ключевыми клиентами и партнерами. -укрепление репутации брендов на...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
