,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115432540,False,Управляющий делами (АХО) / загородным домом,,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:22:43+0300,2025-01-13T16:22:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115432540,,https://api.hh.ru/vacancies/115432540?host=hh.ru,https://hh.ru/vacancy/115432540,[],"{'id': '5242295', 'name': 'ТЕХСТРОЙМОНТАЖ', 'url': 'https://api.hh.ru/employers/5242295', 'alternate_url': 'https://hh.ru/employer/5242295', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5242295', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы управляющим/заведующим домом. Высокая степень личной ответственности, порядочности, честности, организованности.', 'responsibility': 'Контроль за работой ремонтных и <highlighttext>обслуживающих</highlighttext> организаций. Ответственность за технику на участке. Управление и координация работы <highlighttext>персонала</highlighttext> (помощницы по хозяйству...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],[],"[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115410005,False,Руководитель юридического департамента (консалтинг),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'улица Бутырский Вал', 'building': '68/70с1', 'lat': 55.788677, 'lng': 37.589159, 'description': None, 'raw': 'Москва, улица Бутырский Вал, 68/70с1', 'metro': {'station_name': 'Белорусская', 'line_name': 'Кольцевая', 'station_id': '5.20', 'line_id': '5', 'lat': 55.775179, 'lng': 37.582303}, 'metro_stations': [{'station_name': 'Белорусская', 'line_name': 'Кольцевая', 'station_id': '5.20', 'line_id': '5', 'lat': 55.775179, 'lng': 37.582303}, {'station_name': 'Менделеевская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.83', 'line_id': '9', 'lat': 55.781999, 'lng': 37.599141}, {'station_name': 'Савёловская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.128', 'line_id': '9', 'lat': 55.794054, 'lng': 37.587163}], 'id': '1228872'}",,,2025-01-13T13:31:14+0300,2025-01-13T13:31:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115410005,,https://api.hh.ru/vacancies/115410005?host=hh.ru,https://hh.ru/vacancy/115410005,[],"{'id': '2255286', 'name': 'ПРАВОКАРД', 'url': 'https://api.hh.ru/employers/2255286', 'alternate_url': 'https://hh.ru/employer/2255286', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/834936.png', '90': 'https://img.hhcdn.ru/employer-logo/3780627.png', '240': 'https://img.hhcdn.ru/employer-logo/3780628.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2255286', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое образование. Опыт управления отделом или структурой из нескольких подразделений не менее 5 лет, опыт оптимизации процессов. ', 'responsibility': 'Развитие <highlighttext>персонала</highlighttext>, руководителей отделов. Обучение сотрудников (выявление потребностей, взаимодействие с Отделом <highlighttext>персонала</highlighttext> по поиску и организации обучения). Разработка и подготовка...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '166', 'name': 'Директор юридического департамента (CLO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,114921592,False,Управляющий загородным домом,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': 220000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'деревня Барвиха', 'street': 'Рублёво-Успенское шоссе, 8-й километр', 'building': None, 'lat': 55.738252, 'lng': 37.262873, 'description': None, 'raw': 'деревня Барвиха, Рублёво-Успенское шоссе, 8-й километр', 'metro': None, 'metro_stations': [], 'id': '16630210'}",,,2024-12-26T11:34:14+0300,2024-12-26T11:34:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=114921592,,https://api.hh.ru/vacancies/114921592?host=hh.ru,https://hh.ru/vacancy/114921592,[],"{'id': '1922487', 'name': 'Солнечный Круг М', 'url': 'https://api.hh.ru/employers/1922487', 'alternate_url': 'https://hh.ru/employer/1922487', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1922487', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы управляющим в загородных усадьбах. Презентабельный внешний вид, грамотная речь. Высшее образование. Наличие рекомендаций.', 'responsibility': 'решение административно-хозяйственных и организационных вопросов. - контроль качества работы <highlighttext>обслуживающего</highlighttext> <highlighttext>персонала</highlighttext> и исполнения поручений руководства. - обеспечение порядка на территории объекта.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '76', 'name': 'Менеджер/руководитель АХО'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115182567,False,Заместитель операционного директора,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 150000, 'to': 180000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Смольная улица', 'building': '20А', 'lat': 55.859418, 'lng': 37.48623, 'description': None, 'raw': 'Москва, Смольная улица, 20А', 'metro': None, 'metro_stations': [], 'id': '6009960'}",,,2025-01-09T18:10:34+0300,2025-01-09T18:10:34+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115182567,,https://api.hh.ru/vacancies/115182567?host=hh.ru,https://hh.ru/vacancy/115182567,[],"{'id': '4737', 'name': 'Razio Group', 'url': 'https://api.hh.ru/employers/4737', 'alternate_url': 'https://hh.ru/employer/4737', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/814353.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/814352.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/231359.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4737', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Практические знания в области продаж/маркетинга. Нам необходим лидер, умеющий мотивировать <highlighttext>персонал</highlighttext> и работать с командой. Стратег, понимающий экономику отельного...', 'responsibility': '...<highlighttext>обслуживающими</highlighttext> организациями ( Элпост/Контур, пожарная сигнализация, прачечная, кейтеринг, охранная сигнализация, коммунальные службы и т.д.). Соблюдать положения руководства для <highlighttext>персонала</highlighttext>. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '87', 'name': 'Операционный директор (COO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115087007,False,Операционный директор посёлка посуточной аренды (удалённо),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 500000, 'to': 1800000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-11T12:14:49+0300,2025-01-11T12:14:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115087007,,https://api.hh.ru/vacancies/115087007?host=hh.ru,https://hh.ru/vacancy/115087007,[],"{'id': '4339621', 'name': 'Агентство инвестиционной недвижимости Пай Line', 'url': 'https://api.hh.ru/employers/4339621', 'alternate_url': 'https://hh.ru/employer/4339621', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/7074255.png', '90': 'https://img.hhcdn.ru/employer-logo/7074254.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1363586.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4339621', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Умеете выстраивать работу команды в отельном бизнесе.', 'responsibility': 'Найм, обучение и адаптация <highlighttext>обслуживающего</highlighttext> <highlighttext>персонала</highlighttext>. Организация работы <highlighttext>обслуживающего</highlighttext> и технического <highlighttext>персонала</highlighttext>. Финансовая отчётность. Поиск и сотрудничество с деятелями искусств. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,[],"[{'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115349889,False,Заведующий хозяйством,,False,False,"{'id': '1130', 'name': 'Братск', 'url': 'https://api.hh.ru/areas/1130'}","{'from': 48000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Братск', 'street': 'жилой район Падун, улица Хабарова', 'building': '28', 'lat': 56.296124, 'lng': 101.713536, 'description': None, 'raw': 'Братск, жилой район Падун, улица Хабарова, 28', 'metro': None, 'metro_stations': [], 'id': '14779999'}",,,2025-01-13T07:15:05+0300,2025-01-13T07:15:05+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115349889,,https://api.hh.ru/vacancies/115349889?host=hh.ru,https://hh.ru/vacancy/115349889,[],"{'id': '10371312', 'name': 'ГБУ ДО ИО Региональный Центр Авангард', 'url': 'https://api.hh.ru/employers/10371312', 'alternate_url': 'https://hh.ru/employer/10371312', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6870414.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1312539.jpg', '240': 'https://img.hhcdn.ru/employer-logo/6870415.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10371312', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'образование среднее профессиональное образование и стаж работы по хозяйственному обслуживанию не менее 1 года или начальное профессиональное образование и стаж...', 'responsibility': 'Обеспечение работников канцелярскими принадлежностями и предметами хозяйственного обихода. - Руководство работой <highlighttext>обслуживающего</highlighttext> <highlighttext>персонала</highlighttext>. - Принятие участия в закупочной деятельности и обеспечение своевременного...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '76', 'name': 'Менеджер/руководитель АХО'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115357151,False,Диспетчер,,False,False,"{'id': '68', 'name': 'Омск', 'url': 'https://api.hh.ru/areas/68'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Омск', 'street': 'улица Лукашевича', 'building': '35', 'lat': 55.009073, 'lng': 73.297676, 'description': None, 'raw': 'Омск, улица Лукашевича, 35', 'metro': None, 'metro_stations': [], 'id': '16839856'}",,,2025-01-13T08:34:09+0300,2025-01-13T08:34:09+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115357151,,https://api.hh.ru/vacancies/115357151?host=hh.ru,https://hh.ru/vacancy/115357151,[],"{'id': '11354214', 'name': 'Арена', 'url': 'https://api.hh.ru/employers/11354214', 'alternate_url': 'https://hh.ru/employer/11354214', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6897743.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1319402.png', '90': 'https://img.hhcdn.ru/employer-logo/6897742.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11354214', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее, среднее специальное (профессиональное) техническое образование. Уверенный пользователь ПК и оргтехникой. Умение усваивать и ориентироваться в большом объёме информации. ', 'responsibility': 'Организация и координация работы <highlighttext>обслуживающего</highlighttext> <highlighttext>персонала</highlighttext> Объекта (дежурной смены). Прием, обработка и регистрация заявок от различных служб Объекта. '}",,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_24', 'name': '24\xa0часа'}]","[{'id': 'ONE_ON_THREE_OFF', 'name': '1/3'}]",False,"[{'id': '39', 'name': 'Диспетчер'}]",True,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115042660,False,Администратор студии подкастов,,False,False,"{'id': '53', 'name': 'Краснодар', 'url': 'https://api.hh.ru/areas/53'}","{'from': 90000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Краснодар', 'street': 'Фестивальный микрорайон, улица Атарбекова', 'building': '1/1', 'lat': 45.060153, 'lng': 38.942462, 'description': None, 'raw': 'Краснодар, Фестивальный микрорайон, улица Атарбекова, 1/1', 'metro': None, 'metro_stations': [], 'id': '13206506'}",,,2025-01-13T17:28:11+0300,2025-01-13T17:28:11+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115042660,,https://api.hh.ru/vacancies/115042660?host=hh.ru,https://hh.ru/vacancy/115042660,[],"{'id': '9167682', 'name': 'Студия 313', 'url': 'https://api.hh.ru/employers/9167682', 'alternate_url': 'https://hh.ru/employer/9167682', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6905799.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1321438.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6905798.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9167682', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Релевантный опыт работы (на позиции администратора/ хостеса или в продажах/аккаунтинге). * Грамотная устная и письменная речь. * Коммуникабельность и клиентоориентированность. * ', 'responsibility': 'предварительная коммуникация с клиентами, напоминания о съёмках. * Профессионально <highlighttext>обслуживать</highlighttext> посетителей и создавать для них комфортные условия. * Информировать посетителей по вопросам...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115267160,False,Помощник по хозяйству с вождением (дер.Кезьмино),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 120000, 'to': 130000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-10T16:57:21+0300,2025-01-10T16:57:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115267160,,https://api.hh.ru/vacancies/115267160?host=hh.ru,https://hh.ru/vacancy/115267160,[],"{'id': '9835368', 'name': 'Кадровое Агентство CLEVER', 'url': 'https://api.hh.ru/employers/9835368', 'alternate_url': 'https://hh.ru/employer/9835368', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6521029.png', '240': 'https://img.hhcdn.ru/employer-logo/6521030.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1225147.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9835368', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Семья очень доброжелательная!! 3 человека (родители и дочка).', 'responsibility': '...слежение за исправностью систем и коммуникаций, взаимодействие с подрядными и <highlighttext>обслуживающими</highlighttext> организациями, бытовые поручения, уборка нежилых помещений, мелкий ремонт, вывоз...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}, {'id': 'HOURS_9', 'name': '9 часов'}, {'id': 'HOURS_10', 'name': '10\xa0часов'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}]",False,"[{'id': '130', 'name': 'Уборщица, уборщик'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,42862224,False,Инспектор по досмотру,,False,False,"{'id': '35', 'name': 'Иркутск', 'url': 'https://api.hh.ru/areas/35'}","{'from': 60000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Иркутск', 'street': 'улица Ширямова', 'building': '13А', 'lat': 52.274084, 'lng': 104.357161, 'description': None, 'raw': 'Иркутск, улица Ширямова, 13А', 'metro': None, 'metro_stations': [], 'id': '757336'}",,,2025-01-09T06:18:36+0300,2025-01-09T06:18:36+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=42862224,,https://api.hh.ru/vacancies/42862224?host=hh.ru,https://hh.ru/vacancy/42862224,[],"{'id': '1244935', 'name': 'Международный Аэропорт Иркутск', 'url': 'https://api.hh.ru/employers/1244935', 'alternate_url': 'https://hh.ru/employer/1244935', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/1712303.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/317484.jpg', '90': 'https://img.hhcdn.ru/employer-logo/1712302.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1244935', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Средне-специальное/высшее образование. Опыт работы в МВД, ФСБ, ФСИН и т. п. будет вашим преимуществом. Личные качества: ответственность, внимательность...', 'responsibility': 'Досмотр воздушных судов, пассажиров, членов экипажей, <highlighttext>обслуживающего</highlighttext> <highlighttext>персонала</highlighttext>, ручной клади, багажа, грузов, почты, бортового питания и бортовых запасов. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}, {'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}, {'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",True,"[{'id': '120', 'name': 'Специалист службы безопасности'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
