,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,branding,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115356288,False,Водитель автомобиля,,False,False,"{'id': '68', 'name': 'Омск', 'url': 'https://api.hh.ru/areas/68'}","{'from': 60000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Омск', 'street': 'улица Лизы Чайкиной', 'building': '10', 'lat': 54.966163, 'lng': 73.43007, 'description': None, 'raw': 'Омск, улица Лизы Чайкиной, 10', 'metro': None, 'metro_stations': [], 'id': '1216844'}",,,2025-01-13T08:25:14+0300,2025-01-13T08:25:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115356288,"{'type': 'MAKEUP', 'tariff': None}",True,,https://api.hh.ru/vacancies/115356288?host=hh.ru,https://hh.ru/vacancy/115356288,[],"{'id': '3084720', 'name': 'Филиал АО «ОДК» «ОМО им. П.И. Баранова»', 'url': 'https://api.hh.ru/employers/3084720', 'alternate_url': 'https://hh.ru/employer/3084720', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6807979.png', '90': 'https://img.hhcdn.ru/employer-logo/6807978.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1296923.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3084720', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Знание основных технических характеристик и общего устройства ТС. Знание правил <highlighttext>перевозки</highlighttext> грузов и пассажиров, правил технической эксплуатации автомобилей. ', 'responsibility': 'Управлять легковыми и грузовыми автомобилями с прицепами и без прицепов, автобусами всех типов, отнесенных к категории А, В, С, Д...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '21', 'name': 'Водитель'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115421707,False,Специалист по внутренней логистике (HUGO BOSS),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': '1-й Красногвардейский проезд', 'building': '22с2', 'lat': 55.751584, 'lng': 37.535305, 'description': None, 'raw': 'Москва, 1-й Красногвардейский проезд, 22с2', 'metro': None, 'metro_stations': [], 'id': '16309109'}",,,2025-01-13T15:05:29+0300,2025-01-13T15:05:29+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115421707,"{'type': 'CONSTRUCTOR', 'tariff': 'BASIC'}",True,,https://api.hh.ru/vacancies/115421707?host=hh.ru,https://hh.ru/vacancy/115421707,[],"{'id': '11300711', 'name': 'Линк Фэшн', 'url': 'https://api.hh.ru/employers/11300711', 'alternate_url': 'https://hh.ru/employer/11300711', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6861766.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1310377.PNG', '240': 'https://img.hhcdn.ru/employer-logo/6861767.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11300711', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт в логистике: Опыт работы в организации внутренних перевозок по Москве и РФ. Владение инструментами: Уверенный пользователь MS Office (особенно...', 'responsibility': 'Координатор перевозок: Взаимодействовать с транспортными компаниями, оформлять заказы на машины, контролировать процесс <highlighttext>перевозки</highlighttext> и решать возникающие вопросы. Стратег складских процессов...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '67', 'name': 'Менеджер по логистике, менеджер по ВЭД'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115399739,False,Специалист отдела логистики,,False,False,"{'id': '1642', 'name': 'Нижнекамск', 'url': 'https://api.hh.ru/areas/1642'}","{'from': 71000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Нижнекамск', 'street': 'Промзона территория', 'building': None, 'lat': 55.601127, 'lng': 51.937787, 'description': None, 'raw': 'Нижнекамск, Промзона территория', 'metro': None, 'metro_stations': [], 'id': '1310943'}",,,2025-01-13T12:19:13+0300,2025-01-13T12:19:13+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115399739,,,,https://api.hh.ru/vacancies/115399739?host=hh.ru,https://hh.ru/vacancy/115399739,[],"{'id': '2413862', 'name': 'Татшина', 'url': 'https://api.hh.ru/employers/2413862', 'alternate_url': 'https://hh.ru/employer/2413862', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1346511.jpg', '90': 'https://img.hhcdn.ru/employer-logo/7005986.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/7005987.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2413862', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Профессиональное образование – высшее. Уровень профессионального образования – бакалавриат. Направленность (профиль) образования: «Автоматизация технологических процессов и производств», «Экономика», «Менеджмент». «Бизнес-информатика», «Юриспруденция...', 'responsibility': 'Заключение, оформление, сопровождение, исполнение договоров (необходимых для хранения и <highlighttext>перевозки</highlighttext> грузов транспортом). Координация и обеспечение выполнения заявок, поданных от отделов...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '67', 'name': 'Менеджер по логистике, менеджер по ВЭД'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115441218,False,Персональный водитель,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T17:35:21+0300,2025-01-13T17:35:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115441218,,,,https://api.hh.ru/vacancies/115441218?host=hh.ru,https://hh.ru/vacancy/115441218,[],"{'id': '3698246', 'name': 'МедПроф-М', 'url': 'https://api.hh.ru/employers/3698246', 'alternate_url': 'https://hh.ru/employer/3698246', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/5797966.png', '90': 'https://img.hhcdn.ru/employer-logo/5797965.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1044327.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3698246', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы персональным водителем руководителя от 10 лет. Не разглашение коммерчески значимой и личной информации, полученной при исполнении служебных обязанностей. ', 'responsibility': 'Подача автомобиля в назначенное работодателем время и место. <highlighttext>Перевозка</highlighttext> на автомобиле работодателя (или на своем автомобиле), как работодателя, так и...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'OTHER', 'name': 'Другое'}]","[{'id': 'OTHER', 'name': 'Другое'}]",False,"[{'id': '90', 'name': 'Охранник'}]",True,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115406151,False,Персональный водитель,,False,False,"{'id': '66', 'name': 'Нижний Новгород', 'url': 'https://api.hh.ru/areas/66'}","{'from': 80000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T13:07:35+0300,2025-01-13T13:07:35+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115406151,"{'type': 'MAKEUP', 'tariff': None}",True,,https://api.hh.ru/vacancies/115406151?host=hh.ru,https://hh.ru/vacancy/115406151,[],"{'id': '9183413', 'name': 'ХК Логопром', 'url': 'https://api.hh.ru/employers/9183413', 'alternate_url': 'https://hh.ru/employer/9183413', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6303626.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1170798.png', '240': 'https://img.hhcdn.ru/employer-logo/6303627.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9183413', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Умение планировать маршруты. Опыт работы персональным водителем в семье от 3-х лет. Готовность к разъездному графику в локациях Москва...', 'responsibility': 'Обеспечение безопасной и комфортной <highlighttext>перевозки</highlighttext> на деловые встречи, мероприятия и другие регулярные поездки в регионе Нижний Новгород-Москва. '}",,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],False,[],[],"[{'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",False,"[{'id': '21', 'name': 'Водитель'}]",True,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115406663,False,Менеджер по оформлению документов,,False,False,"{'id': '43', 'name': 'Калуга', 'url': 'https://api.hh.ru/areas/43'}","{'from': 48000, 'to': 62000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Калуга', 'street': 'улица Глаголева', 'building': '3', 'lat': 54.531586, 'lng': 36.271752, 'description': None, 'raw': 'Калуга, улица Глаголева, 3', 'metro': None, 'metro_stations': [], 'id': '16534882'}",,,2025-01-13T13:10:32+0300,2025-01-13T13:10:32+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115406663,"{'type': 'MAKEUP', 'tariff': None}",True,,https://api.hh.ru/vacancies/115406663?host=hh.ru,https://hh.ru/vacancy/115406663,[],"{'id': '174277', 'name': 'Grand Line', 'url': 'https://api.hh.ru/employers/174277', 'alternate_url': 'https://hh.ru/employer/174277', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/918910.png', '90': 'https://img.hhcdn.ru/employer-logo/4116216.png', '240': 'https://img.hhcdn.ru/employer-logo/4116217.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=174277', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы с 1С будет преимуществом. Внимательность, усидчивость, отзывчивость. Готовность к монотонной работе. Стрессоустойчивость. Уверенный пользователь ПК.', 'responsibility': 'Оформление заявок на <highlighttext>перевозку</highlighttext>. Работа с претензиями. Создание листов изменений по отгрузкам/заказам. Сопровождение заказа. Работа с первичной документацией.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '70', 'name': 'Менеджер по продажам, менеджер по работе с клиентами'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115384402,False,Водитель руководителя,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T11:05:39+0300,2025-01-13T11:05:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115384402,,,,https://api.hh.ru/vacancies/115384402?host=hh.ru,https://hh.ru/vacancy/115384402,[],"{'id': '5003508', 'name': 'Балтийская звезда', 'url': 'https://api.hh.ru/employers/5003508', 'alternate_url': 'https://hh.ru/employer/5003508', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/789005.png', '240': 'https://img.hhcdn.ru/employer-logo/3596912.png', '90': 'https://img.hhcdn.ru/employer-logo/3596911.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5003508', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Подтвержденный трудовой книжкой опыт работы персональным, офисным водителем от 5 лет. - Водитель категории В. - Отличное знание Москвы. - Стаж работы от...', 'responsibility': 'Основной обязанностью водителя является безопасное вождение транспортного средства и своевременная, безопасная <highlighttext>перевозка</highlighttext> пассажиров по Москве и Московской области.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}, {'id': 'OTHER', 'name': 'Другое'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}, {'id': 'OTHER', 'name': 'Другое'}]",False,"[{'id': '21', 'name': 'Водитель'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115332652,False,Водитель персональный,,False,False,"{'id': '83', 'name': 'Смоленск', 'url': 'https://api.hh.ru/areas/83'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-12T18:14:33+0300,2025-01-12T18:14:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115332652,,,,https://api.hh.ru/vacancies/115332652?host=hh.ru,https://hh.ru/vacancy/115332652,[],"{'id': '9349070', 'name': 'Дискаунтер Чеснок', 'url': 'https://api.hh.ru/employers/9349070', 'alternate_url': 'https://hh.ru/employer/9349070', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1206326.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6445754.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/6445753.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9349070', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы в качестве персонального водителя не менее 3-х лет. Стаж вождения. Отличное знание дорожной ситуации и правил дорожного...', 'responsibility': 'Осуществление <highlighttext>перевозки</highlighttext> сотрудников компании по заданному маршруту. Поддержание чистоты и порядка внутри автомобиля. Соблюдение правил дорожного движения и безопасности во...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '21', 'name': 'Водитель'}]",True,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115414007,False,Руководитель направления развитие и контроль реализации проектов,"{'id': '19989-19989-office', 'name': 'ЕВРАЗ. Руководители и эксперты в офисе'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Нижний Тагил', 'street': 'Индустриальная улица', 'building': '70', 'lat': 57.929174, 'lng': 60.01065, 'description': None, 'raw': 'Нижний Тагил, Индустриальная улица, 70', 'metro': None, 'metro_stations': [], 'id': '6711255'}",,,2025-01-13T14:02:19+0300,2025-01-13T14:02:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115414007,"{'type': 'MAKEUP', 'tariff': None}",True,,https://api.hh.ru/vacancies/115414007?host=hh.ru,https://hh.ru/vacancy/115414007,[],"{'id': '19989', 'name': 'ЕВРАЗ', 'url': 'https://api.hh.ru/employers/19989', 'alternate_url': 'https://hh.ru/employer/19989', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/782717.png', '240': 'https://img.hhcdn.ru/employer-logo/3571760.png', '90': 'https://img.hhcdn.ru/employer-logo/3571759.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=19989', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее профессиональное (профильное, проектное). Знания инструментов управления проектами. Знания нормативной базы в области строительства (градостроительный кодекс, ФЗ-116, ФЗ-87...', 'responsibility': 'Организовывать внедрение инструментов проектного управления и единство методологии в рабочих группах проектов дирекции по управлению проектами. Проводить анализ проблемных областей...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '107', 'name': 'Руководитель проектов'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115378933,False,Личный водитель,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'городской посёлок Дубровка', 'street': 'Советская улица', 'building': '6', 'lat': 59.842784, 'lng': 30.938023, 'description': None, 'raw': 'городской посёлок Дубровка, Советская улица, 6', 'metro': None, 'metro_stations': [], 'id': '14764048'}",,,2025-01-13T10:42:00+0300,2025-01-13T10:42:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115378933,,,,https://api.hh.ru/vacancies/115378933?host=hh.ru,https://hh.ru/vacancy/115378933,[],"{'id': '5172478', 'name': 'Леноблстрой 47', 'url': 'https://api.hh.ru/employers/5172478', 'alternate_url': 'https://hh.ru/employer/5172478', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/874442.jpg', '240': 'https://img.hhcdn.ru/employer-logo/3938644.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/3938643.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5172478', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы личным водителем от 10 лет. Опыт вождения автомобиля премиум-класса. Превосходное знание города и области. Личные качества: стрессоустойчивость...', 'responsibility': 'Сопровождение руководителя, а также его семьи и детей (при необходимости). Обеспечение комфортного передвижения. Поддержание автомобиля в чистоте и хорошем техническом...'}",,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],False,[],[],"[{'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",False,"[{'id': '21', 'name': 'Водитель'}]",True,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
