,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,branding,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115415761,False,Middle Frontend разработчик,"{'id': 'azbvk-2120-tech', 'name': '«Азбука вкуса». Tech'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T14:16:41+0300,2025-01-13T14:16:41+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115415761,"{'type': 'MAKEUP', 'tariff': None}",True,"{'id': '27906', 'url': 'https://hh.ru/interview/27906?employerId=2120'}",https://api.hh.ru/vacancies/115415761?host=hh.ru,https://hh.ru/vacancy/115415761,[],"{'id': '2120', 'name': 'Азбука вкуса', 'url': 'https://api.hh.ru/employers/2120', 'alternate_url': 'https://hh.ru/employer/2120', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/892316.jpg', '90': 'https://img.hhcdn.ru/employer-logo/4009951.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/4009952.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2120', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'SASS (SCSS). Знание современного ES2023. Vue 3. Git. Npm/Yarn, мы работаем на Yarn. Вёрстка по Figma. Docker. ', 'responsibility': 'Поддержка и оптимизация сайтов Азбуки Вкуса. Активное участие в поддержке и развитии архитектуры ключевых внутренних и внешних сервисов. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115394511,False,Менеджер по подбору персонала,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T11:57:00+0300,2025-01-13T11:57:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115394511,"{'type': 'CONSTRUCTOR', 'tariff': 'BASIC'}",True,,https://api.hh.ru/vacancies/115394511?host=hh.ru,https://hh.ru/vacancy/115394511,[],"{'id': '766468', 'name': 'S7 Group', 'url': 'https://api.hh.ru/employers/766468', 'alternate_url': 'https://hh.ru/employer/766468', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6290394.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1167489.png', '240': 'https://img.hhcdn.ru/employer-logo/6290395.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=766468', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Креативность в сорсинге специалистов, готовность быстро включиться в работу. Результата – релевантные резюме и вышедших на работу сотрудников. Опыт работы в...', 'responsibility': 'Вести полный цикл найма от снятия вакансии у нанимающего менеджера до выставления Job offer кандидату (back-office и технические вакансии). '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '69', 'name': 'Менеджер по персоналу'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115403357,False,Специалист по сопровождению партнеров,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}","{'from': 80000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'город Новосибирск', 'street': 'Окружная улица', 'building': '29в', 'lat': 55.083601, 'lng': 82.938396, 'description': None, 'raw': 'город Новосибирск, Окружная улица, 29в', 'metro': {'station_name': 'Заельцовская', 'line_name': 'Ленинская', 'station_id': '52.294', 'line_id': '52', 'lat': 55.059291, 'lng': 82.912569}, 'metro_stations': [{'station_name': 'Заельцовская', 'line_name': 'Ленинская', 'station_id': '52.294', 'line_id': '52', 'lat': 55.059291, 'lng': 82.912569}], 'id': '202137'}",,,2025-01-13T12:45:03+0300,2025-01-13T12:45:03+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115403357,,,,https://api.hh.ru/vacancies/115403357?host=hh.ru,https://hh.ru/vacancy/115403357,[],"{'id': '828199', 'name': '«Предприятие «ЭЛТЕКС»', 'url': 'https://api.hh.ru/employers/828199', 'alternate_url': 'https://hh.ru/employer/828199', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1139178.png', '240': 'https://img.hhcdn.ru/employer-logo/6177302.png', '90': 'https://img.hhcdn.ru/employer-logo/6177301.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=828199', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Грамотная письменная и устная речь и навыки деловой переписки. Внимательность, собранность, многозадачность. Опыт работа в 1С. Высшее техническое образование.', 'responsibility': 'Формирование первичной бухгалтерской документации. Сопровождение процесса ремонта оборудования от получения заявки до ее закрытия. Взаимодействие с техническими службами предприятия, складом...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '71', 'name': 'Менеджер по работе с партнерами'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115428282,False,Специалист по тестированию,,True,False,"{'id': '66', 'name': 'Нижний Новгород', 'url': 'https://api.hh.ru/areas/66'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T15:55:56+0300,2025-01-13T15:55:56+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115428282,"{'type': 'MAKEUP', 'tariff': None}",True,,https://api.hh.ru/vacancies/115428282?host=hh.ru,https://hh.ru/vacancy/115428282,[],"{'id': '5808038', 'name': '42', 'url': 'https://api.hh.ru/employers/5808038', 'alternate_url': 'https://hh.ru/employer/5808038', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6885527.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1316327.png', '90': 'https://img.hhcdn.ru/employer-logo/6885526.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5808038', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Участие в проектах разработки ПО в качестве тестировщика от 1 года. Опыт работы с баг-трекинговыми системами. Опыт работы с...', 'responsibility': 'Ручное тестирование 3D-приложений на Unity, расположенных в web-пространстве, и web-приложений. Регрессионное, функциональное, смоук-тестирование. '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '124', 'name': 'Тестировщик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115358138,False,Специалист по поддержке партнеров программы лояльности,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Новосибирск', 'street': 'улица Кирова', 'building': '23', 'lat': 55.019207, 'lng': 82.940085, 'description': None, 'raw': 'Новосибирск, улица Кирова, 23', 'metro': {'station_name': 'Октябрьская', 'line_name': 'Ленинская', 'station_id': '52.298', 'line_id': '52', 'lat': 55.018789, 'lng': 82.939007}, 'metro_stations': [{'station_name': 'Октябрьская', 'line_name': 'Ленинская', 'station_id': '52.298', 'line_id': '52', 'lat': 55.018789, 'lng': 82.939007}], 'id': '2582512'}",,,2025-01-13T08:44:04+0300,2025-01-13T08:44:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115358138,,,,https://api.hh.ru/vacancies/115358138?host=hh.ru,https://hh.ru/vacancy/115358138,[],"{'id': '766468', 'name': 'S7 Group', 'url': 'https://api.hh.ru/employers/766468', 'alternate_url': 'https://hh.ru/employer/766468', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6290394.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1167489.png', '240': 'https://img.hhcdn.ru/employer-logo/6290395.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=766468', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование. Опыт работы в сфере поддержки клиентов или партнеров. Отличное знание основных принципов CRM-систем. Базовые знания в области...', 'responsibility': 'Обрабатывать запросы от партнеров программы лояльности: прием, анализ и решение вопросов, связанных с использованием совместных продуктов. Эскалировать проблемы на следующий...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '71', 'name': 'Менеджер по работе с партнерами'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115420458,False,Project-менеджер,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 190000, 'to': 200000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T14:54:08+0300,2025-01-13T14:54:08+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115420458,,,,https://api.hh.ru/vacancies/115420458?host=hh.ru,https://hh.ru/vacancy/115420458,[],"{'id': '11121976', 'name': 'SOFIA GRISHUNINA', 'url': 'https://api.hh.ru/employers/11121976', 'alternate_url': 'https://hh.ru/employer/11121976', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11121976', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Обязательный опыт в управления проектами от 2 лет. - Опыт организации онлайн-ивентов. - Компетенции в маркетинге, продажах и бренде (важно понимать...', 'responsibility': 'Анализировать результаты ведения проекта и инициировать изменения. - Осуществлять коммуникация между клиентом и проектной командой. - Разрабатывать стратегию продвижения продукта совместно с...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '107', 'name': 'Руководитель проектов'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115242328,False,Администратор,,False,False,"{'id': '11', 'name': 'Барнаул', 'url': 'https://api.hh.ru/areas/11'}","{'from': 45000, 'to': 70000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Барнаул', 'street': 'Мало-Тобольская улица', 'building': '13', 'lat': 53.331402, 'lng': 83.799593, 'description': None, 'raw': 'Барнаул, Мало-Тобольская улица, 13', 'metro': None, 'metro_stations': [], 'id': '14880855'}",,,2025-01-10T13:03:51+0300,2025-01-10T13:03:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115242328,,,,https://api.hh.ru/vacancies/115242328?host=hh.ru,https://hh.ru/vacancy/115242328,[],"{'id': '10667665', 'name': 'Game Park 360', 'url': 'https://api.hh.ru/employers/10667665', 'alternate_url': 'https://hh.ru/employer/10667665', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1213791.JPG', '240': 'https://img.hhcdn.ru/employer-logo/6475614.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/6475613.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10667665', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы в сфере обслуживания клиентов. Отличные коммуникативные и организационные навыки. Готовность работать в выходные и праздничные дни.', 'responsibility': 'Встречать своей яркой улыбкой гостей нашего центра. Красочно рассказывать о всех <highlighttext>развлечениях</highlighttext>, которые мы предлагаем. Проводить инструктажи посетителям в использовании...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}, {'id': 'FOUR_ON_THREE_OFF', 'name': '4/3'}, {'id': 'THREE_ON_THREE_OFF', 'name': '3/3'}]",False,"[{'id': '8', 'name': 'Администратор'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115144183,False,Тестировщик информационных систем,"{'id': 'azbvk-2120-office', 'name': '«Азбука вкуса». Офис '}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-09T13:04:46+0300,2025-01-09T13:04:46+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115144183,"{'type': 'MAKEUP', 'tariff': None}",True,"{'id': '27906', 'url': 'https://hh.ru/interview/27906?employerId=2120'}",https://api.hh.ru/vacancies/115144183?host=hh.ru,https://hh.ru/vacancy/115144183,[],"{'id': '2120', 'name': 'Азбука вкуса', 'url': 'https://api.hh.ru/employers/2120', 'alternate_url': 'https://hh.ru/employer/2120', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/892316.jpg', '90': 'https://img.hhcdn.ru/employer-logo/4009951.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/4009952.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2120', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Умение тестировать процессы интеграции с этими системами, например, проверка корректности запросов API, форматов данных (JSON, XML). Знание законодательства, связанного с...', 'responsibility': 'Понимание принципов работы систем маркировки: Как товар проходит через систему маркировки, какие этапы важны (производство, хранение, реализация) и как данные...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '124', 'name': 'Тестировщик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115282957,False,Администратор,,False,False,"{'id': '66', 'name': 'Нижний Новгород', 'url': 'https://api.hh.ru/areas/66'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Нижний Новгород', 'street': 'Холодный переулок', 'building': None, 'lat': 56.3192, 'lng': 44.000165, 'description': None, 'raw': 'Нижний Новгород, Холодный переулок', 'metro': {'station_name': 'Горьковская', 'line_name': 'Автозаводская', 'station_id': '50.278', 'line_id': '50', 'lat': 56.313933, 'lng': 43.99482}, 'metro_stations': [{'station_name': 'Горьковская', 'line_name': 'Автозаводская', 'station_id': '50.278', 'line_id': '50', 'lat': 56.313933, 'lng': 43.99482}], 'id': '17158943'}",,,2025-01-11T03:36:25+0300,2025-01-11T03:36:25+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115282957,,,,https://api.hh.ru/vacancies/115282957?host=hh.ru,https://hh.ru/vacancy/115282957,[],"{'id': '11515560', 'name': 'Кесари', 'url': 'https://api.hh.ru/employers/11515560', 'alternate_url': 'https://hh.ru/employer/11515560', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11515560', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Коммуникабельность. Дисциплина. Стрессоустойчивость.', 'responsibility': 'Контроль смены. Поддержание чистоты и атмосферы уюта. Продажи программ. Телефонные переговоры. Выполнение стандартов гостеприимства.'}",,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",True,"[{'id': '8', 'name': 'Администратор'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115421560,False,Личный помощник руководителя/Тревел координатор (Family office),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': 250000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'lat': None, 'lng': None, 'description': None, 'raw': None, 'metro': {'station_name': 'Арбатская', 'line_name': 'Филевская', 'station_id': '4.11', 'line_id': '4', 'lat': 55.752122, 'lng': 37.601553}, 'metro_stations': [{'station_name': 'Арбатская', 'line_name': 'Филевская', 'station_id': '4.11', 'line_id': '4', 'lat': 55.752122, 'lng': 37.601553}], 'id': '694160'}",,,2025-01-13T15:04:06+0300,2025-01-13T15:04:06+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115421560,,,,https://api.hh.ru/vacancies/115421560?host=hh.ru,https://hh.ru/vacancy/115421560,[],"{'id': '1635723', 'name': 'TRUE INTELLIGENCE', 'url': 'https://api.hh.ru/employers/1635723', 'alternate_url': 'https://hh.ru/employer/1635723', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/112441.png', '240': 'https://img.hhcdn.ru/employer-logo/1240754.png', '90': 'https://img.hhcdn.ru/employer-logo/1240753.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1635723', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Хорошее владение английским языком. - Высшее образование. - Опыт работы на аналогичной позиции от 2-х лет. - Отличные коммуникативные навыки и умение...', 'responsibility': 'Полная административная поддержка руководителя. - Выполнение личных поручений руководителя. - Организация встреч, переговоров. - Дистанционная поддержка руководителя во время командировок/поездок. - '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '110', 'name': 'Секретарь, помощник руководителя, ассистент'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
