,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115434082,False,Директор по персоналу,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 600000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:30:50+0300,2025-01-13T16:30:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115434082,,,https://api.hh.ru/vacancies/115434082?host=hh.ru,https://hh.ru/vacancy/115434082,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высокий уровень навыка проведения деловых переговоров. -Глубокие знания рынков <highlighttext>розничной</highlighttext> <highlighttext>торговли</highlighttext>, производства, сферы услуг, информационных технологий и тенденций его развития.', 'responsibility': 'Коммуникация — межличностное взаимодействие, влияние, ведение переговоров, управление конфликтами. -Управление департаментом персонала (отдел подбора персонала, отдел кадрового администрирования и отдел компенсаций...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '38', 'name': 'Директор по персоналу (HRD)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115431940,False,Руководитель складского комплекса,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 150000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:19:21+0300,2025-01-13T16:19:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115431940,,,https://api.hh.ru/vacancies/115431940?host=hh.ru,https://hh.ru/vacancy/115431940,[],"{'id': '9423011', 'name': 'NIKITA EFREMOV', 'url': 'https://api.hh.ru/employers/9423011', 'alternate_url': 'https://hh.ru/employer/9423011', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/5774541.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/5774540.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1038446.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9423011', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Иметь опыт работы в аналогичной должности не менее 3-х лет, преимущественно обувь и одежда премиум сегмента. Уметь систематизировать и...', 'responsibility': 'Взаимодействовать со смежными отделами (Закупки, Оффлайн <highlighttext>розничные</highlighttext> <highlighttext>продажи</highlighttext>, Онлайн продажи, Финансы, Транспортная Логистика, Маркетинг, ИТ) для обмена информацией при выполнении...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '81', 'name': 'Начальник склада'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115433843,False,Генеральный директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 900000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:29:33+0300,2025-01-13T16:29:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115433843,,,https://api.hh.ru/vacancies/115433843?host=hh.ru,https://hh.ru/vacancy/115433843,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'высокий уровень навыка проведения деловых переговоров. - глубокие знания рынка <highlighttext>розничной</highlighttext> <highlighttext>торговли</highlighttext>, производства, сферы услуг, информационных технологий и тенденций его развития. - ', 'responsibility': 'организационное, финансовое и операционное управление компанией. - анализ рынка и определение направлений развития, разработка и реализация стратегических планов по расширению бизнеса. - '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115332968,False,Директор по развитию (Операционный директор),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'lat': None, 'lng': None, 'description': None, 'raw': None, 'metro': {'station_name': 'Электрозаводская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.161', 'line_id': '3', 'lat': 55.782057, 'lng': 37.7053}, 'metro_stations': [{'station_name': 'Электрозаводская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.161', 'line_id': '3', 'lat': 55.782057, 'lng': 37.7053}], 'id': '2357768'}",,,2025-01-12T18:31:21+0300,2025-01-12T18:31:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115332968,,,https://api.hh.ru/vacancies/115332968?host=hh.ru,https://hh.ru/vacancy/115332968,[],"{'id': '3878542', 'name': 'Шарм Лайн', 'url': 'https://api.hh.ru/employers/3878542', 'alternate_url': 'https://hh.ru/employer/3878542', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3878542', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Успешный опыт работы директором по развитию или коммерческим директором (от 3 лет), с проектами в области Косметики и Косметологии. ', 'responsibility': 'Систематизация бизнес-процессов: Оптимизация работы подразделений компании (продажи, контент, склад, логистика). Создание четкой структуры и процессов для повышения эффективности. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '87', 'name': 'Операционный директор (COO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115382359,False,Коммерческий директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'lat': None, 'lng': None, 'description': None, 'raw': None, 'metro': {'station_name': 'Смоленская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.131', 'line_id': '3', 'lat': 55.747713, 'lng': 37.583802}, 'metro_stations': [{'station_name': 'Смоленская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.131', 'line_id': '3', 'lat': 55.747713, 'lng': 37.583802}, {'station_name': 'Смоленская', 'line_name': 'Филевская', 'station_id': '4.132', 'line_id': '4', 'lat': 55.749083, 'lng': 37.582173}], 'id': '810777'}",,,2025-01-13T10:55:51+0300,2025-01-13T10:55:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115382359,True,,https://api.hh.ru/vacancies/115382359?host=hh.ru,https://hh.ru/vacancy/115382359,[],"{'id': '95558', 'name': 'MARELLA', 'url': 'https://api.hh.ru/employers/95558', 'alternate_url': 'https://hh.ru/employer/95558', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/2627430.png', '90': 'https://img.hhcdn.ru/employer-logo/2627429.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/546489.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=95558', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее техническое/экономическое образование. Успешный опыт работы в должности коммерческого директора в сфере fаshion от 5 лет. Знание рынка и...', 'responsibility': 'Совершенствование и оптимизация существующих бизнес-процессов, повышение эффективности <highlighttext>розничных</highlighttext> <highlighttext>продаж</highlighttext>, увеличение операционной прибыли. Анализ рынка и конкурентов, определение потенциальных возможностей...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115416495,False,Региональный директор розничной сети,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Пресненская набережная', 'building': '6с2', 'lat': 55.748143, 'lng': 37.540488, 'description': None, 'raw': 'Москва, Пресненская набережная, 6с2', 'metro': {'station_name': 'Деловой центр', 'line_name': 'Большая кольцевая линия', 'station_id': '97.603', 'line_id': '97', 'lat': 55.7491, 'lng': 37.5395}, 'metro_stations': [{'station_name': 'Деловой центр', 'line_name': 'Большая кольцевая линия', 'station_id': '97.603', 'line_id': '97', 'lat': 55.7491, 'lng': 37.5395}], 'id': '3471557'}",,,2025-01-13T14:21:10+0300,2025-01-13T14:21:10+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115416495,,,https://api.hh.ru/vacancies/115416495?host=hh.ru,https://hh.ru/vacancy/115416495,[],"{'id': '2351276', 'name': 'Whitecliff Investment Management', 'url': 'https://api.hh.ru/employers/2351276', 'alternate_url': 'https://hh.ru/employer/2351276', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/1768687.png', '90': 'https://img.hhcdn.ru/employer-logo/1768686.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/331584.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2351276', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы в аналогичной должности в Fashion / Retail от 3 лет. Опыт работы в качестве Директора магазина; успешный опыт работы...', 'responsibility': 'Оптимизация бизнес-процессов, создание и обновление регламентов, стандартов, участие в проектах по автоматизации процессов <highlighttext>розничной</highlighttext> <highlighttext>торговли</highlighttext>. Создание культуры обслуживания, способствующей...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '35', 'name': 'Директор магазина, директор сети магазинов'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115368426,False,Бухгалтер,"{'id': '1449838-1449838-buh', 'name': 'ГК РОСТ, Бухгалтерия и финансы'}",False,False,"{'id': '63', 'name': 'Саранск', 'url': 'https://api.hh.ru/areas/63'}","{'from': 50000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'городской округ Саранск', 'street': None, 'building': None, 'lat': 54.133912, 'lng': 45.264454, 'description': None, 'raw': 'городской округ Саранск', 'metro': None, 'metro_stations': [], 'id': '13020329'}",,,2025-01-13T09:52:33+0300,2025-01-13T09:52:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115368426,True,,https://api.hh.ru/vacancies/115368426?host=hh.ru,https://hh.ru/vacancy/115368426,[],"{'id': '1449838', 'name': 'РОСТ, Группа компаний', 'url': 'https://api.hh.ru/employers/1449838', 'alternate_url': 'https://hh.ru/employer/1449838', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/3212912.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/3212913.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/692945.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1449838', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Уверенный пользователь ПК. Высшее или среднее специальное образование в сфере бухгалтерского учета, экономики. Рассматриваем кандидатов без опыта.', 'responsibility': 'Участие в инвентаризациях товаров и денежных средств в магазинах <highlighttext>розничной</highlighttext> <highlighttext>торговли</highlighttext> и столовой. Прием отчетов производства, проверка их отражения в...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '18', 'name': 'Бухгалтер'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115382523,False,Ассистент менеджера fashion,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': '5-й Донской проезд', 'building': '17', 'lat': 55.704808, 'lng': 37.597809, 'description': None, 'raw': 'Москва, 5-й Донской проезд, 17', 'metro': {'station_name': 'Ленинский проспект', 'line_name': 'Калужско-Рижская', 'station_id': '6.74', 'line_id': '6', 'lat': 55.70678, 'lng': 37.58499}, 'metro_stations': [{'station_name': 'Ленинский проспект', 'line_name': 'Калужско-Рижская', 'station_id': '6.74', 'line_id': '6', 'lat': 55.70678, 'lng': 37.58499}], 'id': '362144'}",,,2025-01-13T10:56:43+0300,2025-01-13T10:56:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115382523,,,https://api.hh.ru/vacancies/115382523?host=hh.ru,https://hh.ru/vacancy/115382523,[],"{'id': '1463502', 'name': 'Superstudio', 'url': 'https://api.hh.ru/employers/1463502', 'alternate_url': 'https://hh.ru/employer/1463502', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/1773303.png', '90': 'https://img.hhcdn.ru/employer-logo/1773302.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/332738.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1463502', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Любишь моду и разбираешься в ней. Тебе надоело работать в рознице, но ты хочешь развиваться дальше в fashion сегменте. ', 'responsibility': 'Помощь в организации и подготовки коллекций одежды к продаже. Активная помощь бренд-менеджеру в оформлении предзаказов. Помощь в проведении презентаций. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '70', 'name': 'Менеджер по продажам, менеджер по работе с клиентами'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115374817,False,Менеджер проектных продаж (БЕЗ поиска),,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 110000, 'to': 218900, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Санкт-Петербург', 'street': '2-я Красноармейская улица', 'building': '19', 'lat': 59.915413, 'lng': 30.310775, 'description': None, 'raw': 'Санкт-Петербург, 2-я Красноармейская улица, 19', 'metro': None, 'metro_stations': [], 'id': '12490799'}",,,2025-01-13T10:24:07+0300,2025-01-13T10:24:07+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115374817,,,https://api.hh.ru/vacancies/115374817?host=hh.ru,https://hh.ru/vacancy/115374817,[],"{'id': '4503940', 'name': 'Suntan WOOD', 'url': 'https://api.hh.ru/employers/4503940', 'alternate_url': 'https://hh.ru/employer/4503940', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/716356.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/3306540.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/3306541.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4503940', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Позитивный и уверенный в себе экстраверт, не представляющий себя без общения с людьми. Легко идете на контакт с людьми. ', 'responsibility': 'НЕ ищут клиентов, Не осуществляют холодный обзвон. Получает в работу запросы от менеджеров отдела развития на просчет проекта. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '70', 'name': 'Менеджер по продажам, менеджер по работе с клиентами'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,112651943,False,ИТ Директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 300000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': '3-й проезд Перова Поля', 'building': '3А', 'lat': 55.753767, 'lng': 37.773798, 'description': None, 'raw': 'Москва, 3-й проезд Перова Поля, 3А', 'metro': None, 'metro_stations': [], 'id': '14680580'}",,,2024-12-06T01:48:06+0300,2024-12-06T01:48:06+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=112651943,True,,https://api.hh.ru/vacancies/112651943?host=hh.ru,https://hh.ru/vacancy/112651943,[],"{'id': '3344320', 'name': 'АПТЕКА ВАША № 1', 'url': 'https://api.hh.ru/employers/3344320', 'alternate_url': 'https://hh.ru/employer/3344320', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1030180.png', '240': 'https://img.hhcdn.ru/employer-logo/5741481.png', '90': 'https://img.hhcdn.ru/employer-logo/5741480.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3344320', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы в ИТ не менее 6 лет, предпочтительно в розничных сетях. Лидерские качества и опыт управления командами. ', 'responsibility': 'Разработка и реализация ИТ-стратегии компании. Управление информационными системами (1С, CRM, DWH) и инфраструктурой. Оптимизация бизнес-процессов и внедрение...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '36', 'name': 'Директор по информационным технологиям (CIO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
