,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115405026,False,Исполнительный директор по Информационным технологиям Группы,,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Красноармейская улица', 'building': '1', 'lat': 55.7968, 'lng': 37.549453, 'description': None, 'raw': 'Москва, Красноармейская улица, 1', 'metro': {'station_name': 'Динамо', 'line_name': 'Замоскворецкая', 'station_id': '2.34', 'line_id': '2', 'lat': 55.789704, 'lng': 37.558212}, 'metro_stations': [{'station_name': 'Динамо', 'line_name': 'Замоскворецкая', 'station_id': '2.34', 'line_id': '2', 'lat': 55.789704, 'lng': 37.558212}, {'station_name': 'Петровский парк', 'line_name': 'Большая кольцевая линия', 'station_id': '97.599', 'line_id': '97', 'lat': 55.79233, 'lng': 37.55952}], 'id': '861751'}",,,2025-01-13T12:58:17+0300,2025-01-13T12:58:17+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115405026,,,https://api.hh.ru/vacancies/115405026?host=hh.ru,https://hh.ru/vacancy/115405026,[],"{'id': '2931950', 'name': 'Группа Компаний Мечел', 'url': 'https://api.hh.ru/employers/2931950', 'alternate_url': 'https://hh.ru/employer/2931950', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/2224531.png', '240': 'https://img.hhcdn.ru/employer-logo/2224532.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/445641.gif'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2931950', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Ключевые компетенции и опыт: Высшее техническое, высшее экономическое образование – преимущество. Опыт работы в должности Заместителя ИТ директора крупного холдинга, Руководителя...', 'responsibility': 'Проекты по автоматизации ОЦО Холдинга: Команда: Внутренняя <highlighttext>сервисная</highlighttext> ИТ компания (250 чел..) в прямом подчинении, и сотрудники ИТ организаций, входящих...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '36', 'name': 'Директор по информационным технологиям (CIO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115441218,False,Персональный водитель,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T17:35:21+0300,2025-01-13T17:35:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115441218,,,https://api.hh.ru/vacancies/115441218?host=hh.ru,https://hh.ru/vacancy/115441218,[],"{'id': '3698246', 'name': 'МедПроф-М', 'url': 'https://api.hh.ru/employers/3698246', 'alternate_url': 'https://hh.ru/employer/3698246', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/5797966.png', '90': 'https://img.hhcdn.ru/employer-logo/5797965.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1044327.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3698246', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Особенности наблюдения за дорожной обстановкой. Опыт взаимодействия со страховыми компаниями. Своевременный контроль технического состояния и организация <highlighttext>сервисного</highlighttext> <highlighttext>обслуживания</highlighttext> автомобиля, содержание...', 'responsibility': 'Поддержание в автомобиле чистоты и порядка. Техническое <highlighttext>обслуживание</highlighttext> автомобиля. Обеспечение безопасности пассажиров во время движения. Предоставление отчетности по полученным денежным...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'OTHER', 'name': 'Другое'}]","[{'id': 'OTHER', 'name': 'Другое'}]",False,"[{'id': '90', 'name': 'Охранник'}]",True,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115418375,False,Руководитель административно-хозяйственного отдела / Руководитель АХО,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Нижняя Красносельская улица', 'building': '40/12к2', 'lat': 55.774289, 'lng': 37.669145, 'description': None, 'raw': 'Москва, Нижняя Красносельская улица, 40/12к2', 'metro': {'station_name': 'Бауманская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.17', 'line_id': '3', 'lat': 55.772405, 'lng': 37.67904}, 'metro_stations': [{'station_name': 'Бауманская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.17', 'line_id': '3', 'lat': 55.772405, 'lng': 37.67904}, {'station_name': 'Комсомольская', 'line_name': 'Кольцевая', 'station_id': '5.55', 'line_id': '5', 'lat': 55.775672, 'lng': 37.654772}], 'id': '16762144'}",,,2025-01-13T14:35:54+0300,2025-01-13T14:35:54+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115418375,True,,https://api.hh.ru/vacancies/115418375?host=hh.ru,https://hh.ru/vacancy/115418375,[],"{'id': '2087336', 'name': 'Холдинговая Компания Петрогазтех', 'url': 'https://api.hh.ru/employers/2087336', 'alternate_url': 'https://hh.ru/employer/2087336', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/1756575.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/328556.gif', '90': 'https://img.hhcdn.ru/employer-logo/1756574.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2087336', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Подтвержденный опыт работы на административных должностях от 5 лет. Опыт управление командой численностью от 2х человек. Уверенное владение навыками...', 'responsibility': 'Организация и контроль работы сотрудников административно-хозяйственного отдела. Оптимизация рабочих процессов и повышение эффективности работы отдела (в подчинении сотрудники в...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '76', 'name': 'Менеджер/руководитель АХО'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115413356,False,Личный водитель к руководителю,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 120000, 'to': 150000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'деревня Летово', 'street': None, 'building': '2', 'lat': 55.564475, 'lng': 37.401986, 'description': None, 'raw': 'деревня Летово, 2', 'metro': None, 'metro_stations': [], 'id': '10705656'}",,,2025-01-13T13:56:38+0300,2025-01-13T13:56:38+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115413356,,,https://api.hh.ru/vacancies/115413356?host=hh.ru,https://hh.ru/vacancy/115413356,[],"{'id': '4008913', 'name': 'Лазарчук и Партнёры', 'url': 'https://api.hh.ru/employers/4008913', 'alternate_url': 'https://hh.ru/employer/4008913', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/3001860.png', '240': 'https://img.hhcdn.ru/employer-logo/3001861.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/640177.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4008913', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Стаж вождения от 5 лет. Подтвержденный опыт работы персональным водителемна автомобилях представительского класса в Москве. Опыт работы в ГАИ приветствуется. ', 'responsibility': 'Выполнение поручений работодателя. Своевременный контроль технического состояния и организация <highlighttext>сервисного</highlighttext> <highlighttext>обслуживания</highlighttext> автомобилей, содержание автомобиля работодателя в идеальном состоянии. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '21', 'name': 'Водитель'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115424457,False,Персональный водитель руководителя,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'проспект Андропова', 'building': '18с5', 'lat': 55.686817, 'lng': 37.652283, 'description': None, 'raw': 'Москва, проспект Андропова, 18с5', 'metro': {'station_name': 'Технопарк', 'line_name': 'Замоскворецкая', 'station_id': '2.512', 'line_id': '2', 'lat': 55.695, 'lng': 37.664167}, 'metro_stations': [{'station_name': 'Технопарк', 'line_name': 'Замоскворецкая', 'station_id': '2.512', 'line_id': '2', 'lat': 55.695, 'lng': 37.664167}], 'id': '15955564'}",,,2025-01-13T15:25:42+0300,2025-01-13T15:25:42+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115424457,,,https://api.hh.ru/vacancies/115424457?host=hh.ru,https://hh.ru/vacancy/115424457,[],"{'id': '5252861', 'name': 'СпецСтройТехнологии-М', 'url': 'https://api.hh.ru/employers/5252861', 'alternate_url': 'https://hh.ru/employer/5252861', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5252861', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Подтвержденный опыт работы персональным водителем в Москве не менее 6 лет по последним местам работы. Отличное знание Москвы и Московской...', 'responsibility': 'Соблюдение правил дорожного движения. Транспортное сопровождение работодателя. Безопасное вождение автомобиля. Своевременное прохождение технического <highlighttext>обслуживания</highlighttext> в <highlighttext>сервисном</highlighttext> центре и технического осмотра. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '21', 'name': 'Водитель'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115370849,False,Технический Директор,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T10:03:05+0300,2025-01-13T10:03:05+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115370849,,,https://api.hh.ru/vacancies/115370849?host=hh.ru,https://hh.ru/vacancy/115370849,[],"{'id': '4930', 'name': 'Hill International', 'url': 'https://api.hh.ru/employers/4930', 'alternate_url': 'https://hh.ru/employer/4930', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/310422.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/383279.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/231261.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4930', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы в аналогичной должности в федеральной рознице, производственных компаниях или промышленном строительстве (EPC – контрактинг). Высочайшая техническая компетентность и творческий...', 'responsibility': '...2025 год: Перезапуск <highlighttext>сервисной</highlighttext> службы розницы, в том числе повышение качества ее работы и снижение затрат на <highlighttext>обслуживание</highlighttext>. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '125', 'name': 'Технический директор (CTO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115431793,False,Главный специалист ТОиР отдела главного механика,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T17:22:30+0300,2025-01-13T17:22:30+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115431793,,,https://api.hh.ru/vacancies/115431793?host=hh.ru,https://hh.ru/vacancy/115431793,[],"{'id': '1808', 'name': 'НОВАТЭК', 'url': 'https://api.hh.ru/employers/1808', 'alternate_url': 'https://hh.ru/employer/1808', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/3300072.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/3300073.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/714739.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1808', 'accredited_it_employer': False, 'trusted': True}","{'requirement': '...планов <highlighttext>обслуживания</highlighttext> в течении жизненного цикла единицы оборудования, определения стоимости жизненного цикла. Физические принципы работы, типы и устройство, <highlighttext>обслуживание</highlighttext> / тестирование...', 'responsibility': 'Осуществляет формирование программы по диагностическому обследованию, техническому <highlighttext>обслуживанию</highlighttext> и ремонту (ТОиР) и модернизации оборудования объектов СПГ Общества. Контролирует при выполнении...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '173', 'name': 'Механик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115432540,False,Управляющий делами (АХО) / загородным домом,,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:22:43+0300,2025-01-13T16:22:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115432540,,,https://api.hh.ru/vacancies/115432540?host=hh.ru,https://hh.ru/vacancy/115432540,[],"{'id': '5242295', 'name': 'ТЕХСТРОЙМОНТАЖ', 'url': 'https://api.hh.ru/employers/5242295', 'alternate_url': 'https://hh.ru/employer/5242295', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5242295', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы управляющим/заведующим домом. Высокая степень личной ответственности, порядочности, честности, организованности.', 'responsibility': 'Контроль и мониторинг всех видов деятельности в доме и на участке с учетом сезонности и сроков <highlighttext>обслуживания</highlighttext>. Мониторинг работы бассейна...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],[],"[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115347988,False,Менеджер /Клиентская служба/,,False,False,"{'id': '1240', 'name': 'Новокузнецк', 'url': 'https://api.hh.ru/areas/1240'}","{'from': 38000, 'to': 40000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Новокузнецк', 'street': 'улица Сеченова', 'building': '30', 'lat': 53.74954, 'lng': 87.130528, 'description': None, 'raw': 'Новокузнецк, улица Сеченова, 30', 'metro': None, 'metro_stations': [], 'id': '909927'}",,,2025-01-13T06:38:02+0300,2025-01-13T06:38:02+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115347988,True,,https://api.hh.ru/vacancies/115347988?host=hh.ru,https://hh.ru/vacancy/115347988,[],"{'id': '645540', 'name': 'Мать и дитя Сибирь', 'url': 'https://api.hh.ru/employers/645540', 'alternate_url': 'https://hh.ru/employer/645540', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/505205.jpg', '90': 'https://img.hhcdn.ru/employer-logo/2462573.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/2462574.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=645540', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Среднее/высшее профессиональное образование. Грамотная и четкая речь. Знание правила ведения телефонных разговоров. Уверенный пользователь ПК. Умение работать с кассой...', 'responsibility': '<highlighttext>Обслуживание</highlighttext> пациентов клиники в соответствии со стандартами <highlighttext>сервисного</highlighttext> поведения. Прием входящих звонков, запись пациентов, назначение времени. Правильное и своевременное оформление...'}",,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],False,[],[],"[{'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115377915,False,Руководителя отдела эксплуатации и сервиса (автотранспорт),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'деревня Коледино', 'street': 'Троицкая улица', 'building': '20', 'lat': 55.387581, 'lng': 37.588242, 'description': None, 'raw': 'деревня Коледино, Троицкая улица, 20', 'metro': None, 'metro_stations': [], 'id': '3454956'}",,,2025-01-13T10:38:27+0300,2025-01-13T10:38:27+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115377915,,,https://api.hh.ru/vacancies/115377915?host=hh.ru,https://hh.ru/vacancy/115377915,[],"{'id': '87021', 'name': 'WILDBERRIES', 'url': 'https://api.hh.ru/employers/87021', 'alternate_url': 'https://hh.ru/employer/87021', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1042808.jpg', '240': 'https://img.hhcdn.ru/employer-logo/5791989.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/5791988.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=87021', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Стаж работы по должности или аналогичной должности. Связанной с эксплуатацией транспортных средств (тягачи, полуприцепы) от 5 лет.', 'responsibility': 'Контролировать своевременную передачу транспортных средств в СТО. Контролировать соблюдение сроков технического <highlighttext>обслуживания</highlighttext> (далее по тексту ТО) и ремонта транспортных средств...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '67', 'name': 'Менеджер по логистике, менеджер по ВЭД'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
