,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115372845,False,Пресс-атташе ЖФК ЦСКА,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 150000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Химки', 'street': 'улица Панфилова', 'building': '19/4', 'lat': 55.880748, 'lng': 37.432286, 'description': None, 'raw': 'Химки, улица Панфилова, 19/4', 'metro': {'station_name': 'Планерная', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.111', 'line_id': '7', 'lat': 55.859676, 'lng': 37.436808}, 'metro_stations': [{'station_name': 'Планерная', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.111', 'line_id': '7', 'lat': 55.859676, 'lng': 37.436808}], 'id': '896655'}",,,2025-01-13T10:14:33+0300,2025-01-13T10:14:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115372845,,,https://api.hh.ru/vacancies/115372845?host=hh.ru,https://hh.ru/vacancy/115372845,[],"{'id': '2772716', 'name': 'РОТА', 'url': 'https://api.hh.ru/employers/2772716', 'alternate_url': 'https://hh.ru/employer/2772716', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/2289268.png', '240': 'https://img.hhcdn.ru/employer-logo/2289269.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/461852.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2772716', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'А) диплом о высшем (профильном) образовании по одной из следующих. Гуманитарных специальностей: «Журналистика», «Связи с общественностью». «Реклама», «Филология», «Социология». Или. ', 'responsibility': 'Подготовка, разработка, заказ и размещение полиграфии и наружной рекламы к каждому матчу или <highlighttext>спортивному</highlighttext> мероприятию, проводимому <highlighttext>Клубом</highlighttext>. Подготовка и реализация...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '2', 'name': 'PR-менеджер'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115135566,False,Пресс-атташе Академии ФК «ЛОКОМОТИВ»,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Большая Черкизовская улица', 'building': '125с1', 'lat': 55.80269, 'lng': 37.741225, 'description': None, 'raw': 'Москва, Большая Черкизовская улица, 125с1', 'metro': {'station_name': 'Черкизовская', 'line_name': 'Сокольническая', 'station_id': '1.155', 'line_id': '1', 'lat': 55.802787, 'lng': 37.744863}, 'metro_stations': [{'station_name': 'Черкизовская', 'line_name': 'Сокольническая', 'station_id': '1.155', 'line_id': '1', 'lat': 55.802787, 'lng': 37.744863}], 'id': '412624'}",,,2025-01-09T12:17:47+0300,2025-01-09T12:17:47+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115135566,,,https://api.hh.ru/vacancies/115135566?host=hh.ru,https://hh.ru/vacancy/115135566,[],"{'id': '742469', 'name': 'ФК ЛОКОМОТИВ', 'url': 'https://api.hh.ru/employers/742469', 'alternate_url': 'https://hh.ru/employer/742469', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/3915275.png', '240': 'https://img.hhcdn.ru/employer-logo/3915276.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/868600.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=742469', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее гуманитарное образование. Опыт работы в футбольной/<highlighttext>спортивной</highlighttext> сфере: <highlighttext>клуб</highlighttext>/СМИ/Федерация/Лига в Пресс-службе, PR, спортивной редакции. ', 'responsibility': 'Формирование имиджа команды в медиа-пространстве. Написание текстов (отчеты по матчам/турнирам, пресс-релизы, интервью и т.д.). '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}, {'id': 'WEEKEND', 'name': 'По\xa0выходным'}]",False,"[{'id': '2', 'name': 'PR-менеджер'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115394164,False,Руководитель отдела продаж,,False,True,"{'id': '53', 'name': 'Краснодар', 'url': 'https://api.hh.ru/areas/53'}","{'from': 250000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Краснодар', 'street': 'Центральный внутригородской округ, микрорайон Центральный, Кубанская набережная', 'building': '33', 'lat': 45.023597, 'lng': 38.959332, 'description': None, 'raw': 'Краснодар, Центральный внутригородской округ, микрорайон Центральный, Кубанская набережная, 33', 'metro': None, 'metro_stations': [], 'id': '13490250'}",,,2025-01-13T11:55:35+0300,2025-01-13T11:55:35+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115394164,,,https://api.hh.ru/vacancies/115394164?host=hh.ru,https://hh.ru/vacancy/115394164,[],"{'id': '3648421', 'name': 'Дайя Групп', 'url': 'https://api.hh.ru/employers/3648421', 'alternate_url': 'https://hh.ru/employer/3648421', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1036954.png', '240': 'https://img.hhcdn.ru/employer-logo/5768577.png', '90': 'https://img.hhcdn.ru/employer-logo/5768576.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3648421', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Успешный опыт работы на аналогичной позиции. Подтвержденное лидерство в увеличении объёмов индивидуальных продаж. Опыт формирования эффективной команды и ее развития.', 'responsibility': 'Организовывать работу отдела и его эффективное взаимодействие со всеми подразделениями компании. Генерировать и реализовывать идеи по увеличению доли рынка и...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '106', 'name': 'Руководитель отдела продаж'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115355979,False,Аналитик операционных данных,,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'улица Земляной Вал', 'building': '36', 'lat': 55.75588950197085, 'lng': 37.65650642327865, 'description': None, 'raw': 'Москва, улица Земляной Вал, 36', 'metro': {'station_name': 'Курская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.70', 'line_id': '3', 'lat': 55.758564, 'lng': 37.659039}, 'metro_stations': [{'station_name': 'Курская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.70', 'line_id': '3', 'lat': 55.758564, 'lng': 37.659039}, {'station_name': 'Курская', 'line_name': 'МЦД-2', 'station_id': '132.726', 'line_id': '132', 'lat': 55.757622, 'lng': 37.660767}, {'station_name': 'Чкаловская', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.72', 'line_id': '10', 'lat': 55.755951, 'lng': 37.659293}], 'id': '15804189'}",,,2025-01-13T08:23:52+0300,2025-01-13T08:23:52+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115355979,True,,https://api.hh.ru/vacancies/115355979?host=hh.ru,https://hh.ru/vacancy/115355979,[],"{'id': '2633', 'name': 'ТРАНСКАПИТАЛБАНК', 'url': 'https://api.hh.ru/employers/2633', 'alternate_url': 'https://hh.ru/employer/2633', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/7063298.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1360847.png', '240': 'https://img.hhcdn.ru/employer-logo/7063299.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2633', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Навыки работы с базами данных и большими массивами. Уверенное знание SQL, знание Excel (сводные таблицы, автофильтры, ВПР, макросы будут преимуществом). ', 'responsibility': 'Формирование регулярной и оперативной отчетности по аналитическим показателям. Разработка и внедрение новых форм отчетов, модернизация существующих. Оформление результатов в Excel...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115147231,False,Администратор,"{'id': 'zenit-926498-spor', 'name': 'Спортивная база ФК ""Зенит""'}",False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Санкт-Петербург', 'street': 'улица Верности', 'building': '21', 'lat': 60.004136, 'lng': 30.410038, 'description': None, 'raw': 'Санкт-Петербург, улица Верности, 21', 'metro': None, 'metro_stations': [], 'id': '650015'}",,,2025-01-09T13:27:27+0300,2025-01-09T13:27:27+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115147231,,,https://api.hh.ru/vacancies/115147231?host=hh.ru,https://hh.ru/vacancy/115147231,[],"{'id': '926498', 'name': 'Зенит, футбольный клуб', 'url': 'https://api.hh.ru/employers/926498', 'alternate_url': 'https://hh.ru/employer/926498', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6011529.png', '240': 'https://img.hhcdn.ru/employer-logo/6011530.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1097728.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=926498', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Среднее специальное или высшее образование. Владение ПК (Word, Excel, Outlook). Опыт административной работы желателен. Стрессоустойчивость.', 'responsibility': 'Контроль работы службы клининга в помещениях Академии (проверка помещений, с/у). Обходы помещений с целью проверки исправности оборудования, лампочек, выключателей. '}",,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],False,[],[],"[{'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",False,"[{'id': '8', 'name': 'Администратор'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115258521,False,Бухгалтер на первичную документацию (частичная занятость),,False,False,"{'id': '88', 'name': 'Казань', 'url': 'https://api.hh.ru/areas/88'}","{'from': 25000, 'to': 30000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Казань', 'street': 'улица Габдуллы Тукая', 'building': '113А', 'lat': 55.768441, 'lng': 49.125871, 'description': None, 'raw': 'Казань, улица Габдуллы Тукая, 113А', 'metro': {'station_name': 'Аметьево', 'line_name': 'Центральная', 'station_id': '49.275', 'line_id': '49', 'lat': 55.765346, 'lng': 49.165083}, 'metro_stations': [{'station_name': 'Аметьево', 'line_name': 'Центральная', 'station_id': '49.275', 'line_id': '49', 'lat': 55.765346, 'lng': 49.165083}, {'station_name': 'Площадь Тукая', 'line_name': 'Центральная', 'station_id': '49.273', 'line_id': '49', 'lat': 55.787163, 'lng': 49.122126}, {'station_name': 'Суконная слобода', 'line_name': 'Центральная', 'station_id': '49.274', 'line_id': '49', 'lat': 55.777094, 'lng': 49.142275}], 'id': '7575540'}",,,2025-01-10T15:33:15+0300,2025-01-10T15:33:15+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115258521,,,https://api.hh.ru/vacancies/115258521?host=hh.ru,https://hh.ru/vacancy/115258521,[],"{'id': '5401601', 'name': 'Классный Мерч', 'url': 'https://api.hh.ru/employers/5401601', 'alternate_url': 'https://hh.ru/employer/5401601', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6986823.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1341720.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6986822.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5401601', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Что тебе понадобится: Профильное бухгалтерское образование ( студенты тоже рассматриваются ). Опыт работы в аналогичной должности будет преимуществом. Уверенное владение ПК, знание...', 'responsibility': 'Ведение учета первичной документации. \u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b\u200b Проведение операций по приемке, обработке и хранению документов. Проверка правильности оформления документов. Взаимодействие с другими отделами...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'THREE_ON_THREE_OFF', 'name': '3/3'}]",False,"[{'id': '18', 'name': 'Бухгалтер'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'part', 'name': 'Частичная занятость'}","{'id': 'PART', 'name': 'Частичная'}",False,,False,
6,115119855,False,Специалист канцелярии,,False,False,"{'id': '54', 'name': 'Красноярск', 'url': 'https://api.hh.ru/areas/54'}","{'from': 35000, 'to': 35000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Красноярск', 'street': 'Коломенская улица', 'building': '26', 'lat': 56.014529, 'lng': 92.963163, 'description': None, 'raw': 'Красноярск, Коломенская улица, 26', 'metro': None, 'metro_stations': [], 'id': '7435868'}",,,2025-01-09T10:29:42+0300,2025-01-09T10:29:42+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115119855,,,https://api.hh.ru/vacancies/115119855?host=hh.ru,https://hh.ru/vacancy/115119855,[],"{'id': '5611358', 'name': 'ФГБУ ФСНКЦ ФМБА России', 'url': 'https://api.hh.ru/employers/5611358', 'alternate_url': 'https://hh.ru/employer/5611358', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1202071.jpg', '240': 'https://img.hhcdn.ru/employer-logo/6428734.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/6428733.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5611358', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Желательно профильное образование (делопроизводитель). Ответственность. Умение работать в офисных программах. Высокая скорость печати. Грамотность. Умение вести деловую переписку.', 'responsibility': 'Осуществление приема, регистрация документов в системе электронного документооборота. Работа с документами, входящими, исходящими письмами, приказами, распоряжениями и т.п., звонками. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '33', 'name': 'Делопроизводитель, архивариус'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115380932,False,Middle+ Frontend developer (Platform),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T10:51:19+0300,2025-01-13T10:51:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115380932,True,,https://api.hh.ru/vacancies/115380932?host=hh.ru,https://hh.ru/vacancy/115380932,[],"{'id': '1959252', 'name': 'СберЗдоровье', 'url': 'https://api.hh.ru/employers/1959252', 'alternate_url': 'https://hh.ru/employer/1959252', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/3427702.png', '90': 'https://img.hhcdn.ru/employer-logo/3427701.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/746685.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1959252', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Знание принципов работы браузера (особенности загрузки, парсинга и рендеринга страницы, особенности работы с DOM-деревом и т.д.). ', 'responsibility': '3 бизнес-направления. 21+ команд. 317+ IT специалистов (devops, manual/auto QA, web/mobile devs, backend devs, аналитики...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,114187385,False,Администратор в премиальный стрелковый комплекс,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 80000, 'to': 90000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': '3-я Хорошёвская улица', 'building': '21А', 'lat': 55.785787, 'lng': 37.49877, 'description': None, 'raw': 'Москва, 3-я Хорошёвская улица, 21А', 'metro': {'station_name': 'Зорге', 'line_name': 'МЦК', 'station_id': '95.540', 'line_id': '95', 'lat': 55.787778, 'lng': 37.504444}, 'metro_stations': [{'station_name': 'Зорге', 'line_name': 'МЦК', 'station_id': '95.540', 'line_id': '95', 'lat': 55.787778, 'lng': 37.504444}, {'station_name': 'Октябрьское поле', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.95', 'line_id': '7', 'lat': 55.793581, 'lng': 37.493317}, {'station_name': 'Хорошево', 'line_name': 'МЦК', 'station_id': '95.539', 'line_id': '95', 'lat': 55.777222, 'lng': 37.507222}], 'id': '16171416'}",,,2024-12-19T16:13:38+0300,2024-12-19T16:13:38+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=114187385,,,https://api.hh.ru/vacancies/114187385?host=hh.ru,https://hh.ru/vacancy/114187385,[],"{'id': '10493232', 'name': 'Стрелковый клуб 7.62', 'url': 'https://api.hh.ru/employers/10493232', 'alternate_url': 'https://hh.ru/employer/10493232', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1190176.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/6381161.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6381162.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10493232', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Вежливость, коммуникабельность и дисциплинированность. Обучаемость и желание развиваться. Презентабельный внешний вид. Грамотная речь. Навыки телефонных переговоров. Пользователь ПК. ', 'responsibility': 'Консультирование по услугам клуба. Работа с входящими и исходящими звонками, электронной почтой и мессенджерами. Работа с кассовым аппаратом и терминалом...'}",,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],False,[],[],"[{'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",False,"[{'id': '8', 'name': 'Администратор'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115378186,False,Ассистент отдела кадров,,False,False,"{'id': '88', 'name': 'Казань', 'url': 'https://api.hh.ru/areas/88'}","{'from': 45000, 'to': 50000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Казань', 'street': 'микрорайон Азино-1, улица Закиева', 'building': '1', 'lat': 55.776715, 'lng': 49.221129, 'description': None, 'raw': 'Казань, микрорайон Азино-1, улица Закиева, 1', 'metro': {'station_name': 'Горки', 'line_name': 'Центральная', 'station_id': '49.276', 'line_id': '49', 'lat': 55.760763, 'lng': 49.189679}, 'metro_stations': [{'station_name': 'Горки', 'line_name': 'Центральная', 'station_id': '49.276', 'line_id': '49', 'lat': 55.760763, 'lng': 49.189679}], 'id': '2233004'}",,,2025-01-13T10:39:32+0300,2025-01-13T10:39:32+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115378186,True,,https://api.hh.ru/vacancies/115378186?host=hh.ru,https://hh.ru/vacancy/115378186,[],"{'id': '40938', 'name': 'Улыбка радуги', 'url': 'https://api.hh.ru/employers/40938', 'alternate_url': 'https://hh.ru/employer/40938', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/3556364.png', '90': 'https://img.hhcdn.ru/employer-logo/3556363.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/778868.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=40938', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Готовность работать с документами. Опыт работы необязателен. Внимательность.', 'responsibility': 'Формирование личных дел. Подготовка справок. Оформление трудовых книжек. Помощь инспектору в подготовке документов.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '117', 'name': 'Специалист по кадрам'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
