,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,branding,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115427719,False,Директор по безопасности,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 500000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T15:50:21+0300,2025-01-13T15:50:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115427719,"{'type': 'CONSTRUCTOR', 'tariff': 'BASIC'}",True,,https://api.hh.ru/vacancies/115427719?host=hh.ru,https://hh.ru/vacancy/115427719,[],"{'id': '4174077', 'name': 'StaffRecruitment', 'url': 'https://api.hh.ru/employers/4174077', 'alternate_url': 'https://hh.ru/employer/4174077', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/663804.png', '240': 'https://img.hhcdn.ru/employer-logo/3096349.png', '90': 'https://img.hhcdn.ru/employer-logo/3096348.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4174077', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт в оценке и управлении рисками, их предупреждении и предотвращении. Навык разработки <highlighttext>стратегии</highlighttext> обеспечения комплексной безопасности. Навыки участия в автоматизации...', 'responsibility': 'Разработка и внедрение комплексной <highlighttext>стратегии</highlighttext> корпоративной безопасности, включая физическую, техническую и информационную безопасность. Оценка и минимизация рисков, выявление уязвимостей в...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],[],"[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'FLEXIBLE', 'name': 'Свободный'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115408436,False,Директор по управлению проектами (PMO Director),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 950000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T13:20:04+0300,2025-01-13T13:20:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115408436,"{'type': 'CONSTRUCTOR', 'tariff': 'BASIC'}",True,,https://api.hh.ru/vacancies/115408436?host=hh.ru,https://hh.ru/vacancy/115408436,[],"{'id': '4174077', 'name': 'StaffRecruitment', 'url': 'https://api.hh.ru/employers/4174077', 'alternate_url': 'https://hh.ru/employer/4174077', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/663804.png', '240': 'https://img.hhcdn.ru/employer-logo/3096349.png', '90': 'https://img.hhcdn.ru/employer-logo/3096348.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4174077', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт разработки и внедрения <highlighttext>стратегий</highlighttext> управления проектами, а также в обеспечении их выполнения в установленные сроки и бюджеты. ', 'responsibility': 'Формирование и внедрение стратегических принципов и стандартов управления проектами для всей компании. Координация и руководство комплексом проектов, определение приоритетов и...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],[],"[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'FLEXIBLE', 'name': 'Свободный'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115433873,False,Исполнительный директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 700000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:29:47+0300,2025-01-13T16:29:47+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115433873,,,,https://api.hh.ru/vacancies/115433873?host=hh.ru,https://hh.ru/vacancy/115433873,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': '...лет, знания и навыки управления подразделениями продаж, маркетинг, закупки, логистика и др.. -положительный опыт реализации <highlighttext>стратегий</highlighttext> и запуска новых направлений.', 'responsibility': 'реализация <highlighttext>стратегии</highlighttext> компании. -увеличение выручки, прибыли и показателей рентабельности. -установление связей с ключевыми клиентами и партнерами. -укрепление репутации брендов на...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115398789,False,Руководитель регионального направления / Руководитель филиала,,False,False,"{'id': '24', 'name': 'Волгоград', 'url': 'https://api.hh.ru/areas/24'}","{'from': 150000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Волгоград', 'street': 'улица Рокоссовского', 'building': '62', 'lat': 48.729845, 'lng': 44.524916, 'description': None, 'raw': 'Волгоград, улица Рокоссовского, 62', 'metro': None, 'metro_stations': [], 'id': '11867373'}",,,2025-01-13T12:14:15+0300,2025-01-13T12:14:15+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115398789,"{'type': 'MAKEUP', 'tariff': None}",True,,https://api.hh.ru/vacancies/115398789?host=hh.ru,https://hh.ru/vacancy/115398789,[],"{'id': '2334525', 'name': 'ESTIMA', 'url': 'https://api.hh.ru/employers/2334525', 'alternate_url': 'https://hh.ru/employer/2334525', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/3865612.png', '90': 'https://img.hhcdn.ru/employer-logo/3865611.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/856184.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2334525', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Желаемый предыдущий опыт работы. Опыт в аналогичной деятельности.', 'responsibility': 'Управление отделом продаж (филиалом) : разработка и реализация <highlighttext>стратегий</highlighttext> для достижения и превышения плановых показателей. Координация работы команды. Постановка задач и...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '106', 'name': 'Руководитель отдела продаж'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115405026,False,Исполнительный директор по Информационным технологиям Группы,,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Красноармейская улица', 'building': '1', 'lat': 55.7968, 'lng': 37.549453, 'description': None, 'raw': 'Москва, Красноармейская улица, 1', 'metro': {'station_name': 'Динамо', 'line_name': 'Замоскворецкая', 'station_id': '2.34', 'line_id': '2', 'lat': 55.789704, 'lng': 37.558212}, 'metro_stations': [{'station_name': 'Динамо', 'line_name': 'Замоскворецкая', 'station_id': '2.34', 'line_id': '2', 'lat': 55.789704, 'lng': 37.558212}, {'station_name': 'Петровский парк', 'line_name': 'Большая кольцевая линия', 'station_id': '97.599', 'line_id': '97', 'lat': 55.79233, 'lng': 37.55952}], 'id': '861751'}",,,2025-01-13T12:58:17+0300,2025-01-13T12:58:17+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115405026,,,,https://api.hh.ru/vacancies/115405026?host=hh.ru,https://hh.ru/vacancy/115405026,[],"{'id': '2931950', 'name': 'Группа Компаний Мечел', 'url': 'https://api.hh.ru/employers/2931950', 'alternate_url': 'https://hh.ru/employer/2931950', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/2224531.png', '240': 'https://img.hhcdn.ru/employer-logo/2224532.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/445641.gif'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2931950', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Ключевые компетенции и опыт: Высшее техническое, высшее экономическое образование – преимущество. Опыт работы в должности Заместителя ИТ директора крупного холдинга, Руководителя...', 'responsibility': 'Основная задача:. Организация разработки, актуализации и контроля реализации <highlighttext>стратегии</highlighttext> развития информационных технологий, цифровизации и цифровой трансформации в Группе; Реализация портфеля...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '36', 'name': 'Директор по информационным технологиям (CIO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115434082,False,Директор по персоналу,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 600000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:30:50+0300,2025-01-13T16:30:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115434082,,,,https://api.hh.ru/vacancies/115434082?host=hh.ru,https://hh.ru/vacancy/115434082,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование, желательно наличие MBA. -Опыт работы HRD от 3 лет. -Управление командой — системное мышление, организация, анализ, контроль, планирование, мотивация...', 'responsibility': 'Анализ причин текучести персонала, разработка мероприятий по их снижению. -Разработка и внедрение <highlighttext>стратегии</highlighttext> управления персоналом, контроль ФОТ, численности, бюджетирование. -'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '38', 'name': 'Директор по персоналу (HRD)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115395687,False,Исполнительный директор,,False,False,"{'id': '90', 'name': 'Томск', 'url': 'https://api.hh.ru/areas/90'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'деревня Петрово', 'street': None, 'building': None, 'lat': 56.537582, 'lng': 84.822262, 'description': None, 'raw': 'деревня Петрово', 'metro': None, 'metro_stations': [], 'id': '2038151'}",,,2025-01-13T12:01:15+0300,2025-01-13T12:01:15+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115395687,,,,https://api.hh.ru/vacancies/115395687?host=hh.ru,https://hh.ru/vacancy/115395687,[],"{'id': '100685', 'name': 'Эко-фабрика «Сибирский кедр»', 'url': 'https://api.hh.ru/employers/100685', 'alternate_url': 'https://hh.ru/employer/100685', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6309350.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1172230.jpg', '240': 'https://img.hhcdn.ru/employer-logo/6309351.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=100685', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование экономическое/ финансовое/ техническое. Навыки планирования. Навыки управления командой. Системное мышление, Вы принимаете решения на основе цифр. ', 'responsibility': 'Сокращением расходов производства без сокращения качества. Администрирование <highlighttext>стратегии</highlighttext> развития компании, включая оптимизацию текущих процессов. Разработка и внедрение <highlighttext>стратегий</highlighttext> для повышения...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115411619,False,Генеральный директор (CEO),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 1500000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T13:43:51+0300,2025-01-13T13:43:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115411619,"{'type': 'CONSTRUCTOR', 'tariff': 'BASIC'}",True,,https://api.hh.ru/vacancies/115411619?host=hh.ru,https://hh.ru/vacancy/115411619,[],"{'id': '4174077', 'name': 'StaffRecruitment', 'url': 'https://api.hh.ru/employers/4174077', 'alternate_url': 'https://hh.ru/employer/4174077', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/663804.png', '240': 'https://img.hhcdn.ru/employer-logo/3096349.png', '90': 'https://img.hhcdn.ru/employer-logo/3096348.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4174077', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование в области экономики, финансов или управления. Способность разрабатывать и реализовывать <highlighttext>стратегии</highlighttext>, нацеленные на долгосрочный успешный рост компании. ', 'responsibility': 'Разработка и внедрение стратегического планирования с фокусом на рост бизнеса и оптимизацию процессов. Управление всеми операционными и финансовыми аспектами работы...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],[],"[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'FLEXIBLE', 'name': 'Свободный'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115411432,False,Руководитель региона (Юг),,False,False,"{'id': '53', 'name': 'Краснодар', 'url': 'https://api.hh.ru/areas/53'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T13:42:18+0300,2025-01-13T13:42:18+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115411432,,,,https://api.hh.ru/vacancies/115411432?host=hh.ru,https://hh.ru/vacancy/115411432,[],"{'id': '1466637', 'name': 'Davines Russia', 'url': 'https://api.hh.ru/employers/1466637', 'alternate_url': 'https://hh.ru/employer/1466637', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/564114.jpg', '90': 'https://img.hhcdn.ru/employer-logo/2697929.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/2697930.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1466637', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'У Вас есть релевантный управленческий опыт. Вы умеете формировать <highlighttext>стратегию</highlighttext> плана развития бизнеса. Вы понимаете особенности работы салонов красоты. ', 'responsibility': 'Формирование и реализация <highlighttext>стратегии</highlighttext> плана развития бизнеса. Организация процессов продаж удаленных подразделений и филиала. Выстраивание и поддержание взаимоотношений с ключевыми...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '106', 'name': 'Руководитель отдела продаж'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115421707,False,Специалист по внутренней логистике (HUGO BOSS),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': '1-й Красногвардейский проезд', 'building': '22с2', 'lat': 55.751584, 'lng': 37.535305, 'description': None, 'raw': 'Москва, 1-й Красногвардейский проезд, 22с2', 'metro': None, 'metro_stations': [], 'id': '16309109'}",,,2025-01-13T15:05:29+0300,2025-01-13T15:05:29+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115421707,"{'type': 'CONSTRUCTOR', 'tariff': 'BASIC'}",True,,https://api.hh.ru/vacancies/115421707?host=hh.ru,https://hh.ru/vacancy/115421707,[],"{'id': '11300711', 'name': 'Линк Фэшн', 'url': 'https://api.hh.ru/employers/11300711', 'alternate_url': 'https://hh.ru/employer/11300711', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6861766.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1310377.PNG', '240': 'https://img.hhcdn.ru/employer-logo/6861767.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11300711', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт в логистике: Опыт работы в организации внутренних перевозок по Москве и РФ. Владение инструментами: Уверенный пользователь MS Office (особенно...', 'responsibility': 'Координатор перевозок: Взаимодействовать с транспортными компаниями, оформлять заказы на машины, контролировать процесс перевозки и решать возникающие вопросы. <highlighttext>Стратег</highlighttext> складских процессов...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '67', 'name': 'Менеджер по логистике, менеджер по ВЭД'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
