,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115441303,False,Руководитель юридического отдела,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T17:36:30+0300,2025-01-13T17:36:30+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115441303,,https://api.hh.ru/vacancies/115441303?host=hh.ru,https://hh.ru/vacancy/115441303,[],"{'id': '11468734', 'name': 'Максис', 'url': 'https://api.hh.ru/employers/11468734', 'alternate_url': 'https://hh.ru/employer/11468734', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11468734', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое образование. Релевантный опыт работы от 3 лет. Опыт работы в торговых компаниях будет преимуществом. Высокая работоспособность, стрессоустойчивость, стабильность.', 'responsibility': 'Руководство юридическим отделом. Самостоятельное выполнение юридической работы, требующей высокой квалификации (судебно-претензионный блок, договорной блок, корпоративный блок). Юридическое сопровождение торговой...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '166', 'name': 'Директор юридического департамента (CLO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115424608,False,Тестировщик (Junior),,False,False,"{'id': '71', 'name': 'Пенза', 'url': 'https://api.hh.ru/areas/71'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Пенза', 'street': 'Московская улица', 'building': '39', 'lat': 53.190332, 'lng': 45.015899, 'description': None, 'raw': 'Пенза, Московская улица, 39', 'metro': None, 'metro_stations': [], 'id': '6624213'}",,,2025-01-13T15:26:45+0300,2025-01-13T15:26:45+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115424608,,https://api.hh.ru/vacancies/115424608?host=hh.ru,https://hh.ru/vacancy/115424608,[],"{'id': '2493662', 'name': 'Smartway', 'url': 'https://api.hh.ru/employers/2493662', 'alternate_url': 'https://hh.ru/employer/2493662', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/988581.png', '90': 'https://img.hhcdn.ru/employer-logo/5575136.png', '240': 'https://img.hhcdn.ru/employer-logo/5575137.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2493662', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Имеет критическое мышление и фантазию. Дисциплинирован и самостоятелен. Умеет работать в команде и слушать других людей. Желает развиваться и не...', 'responsibility': 'Написание тест-кейсов, тест-планов. Поддержка и актуализация текущей тестовой документации. Тестирование документации. Оценка трудозатрат. Проведение функционального, регрессионного тестирования. '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '124', 'name': 'Тестировщик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115330249,False,Дизайнер Junior,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 50000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Мантулинская улица', 'building': None, 'lat': 55.756168, 'lng': 37.552534, 'description': None, 'raw': 'Москва, Мантулинская улица', 'metro': {'station_name': 'Деловой центр', 'line_name': 'Большая кольцевая линия', 'station_id': '97.603', 'line_id': '97', 'lat': 55.7491, 'lng': 37.5395}, 'metro_stations': [{'station_name': 'Деловой центр', 'line_name': 'Большая кольцевая линия', 'station_id': '97.603', 'line_id': '97', 'lat': 55.7491, 'lng': 37.5395}, {'station_name': 'Деловой центр', 'line_name': 'Солнцевская', 'station_id': '133.468', 'line_id': '133', 'lat': 55.7491, 'lng': 37.5395}, {'station_name': 'Деловой центр (Выставочная)', 'line_name': 'Филевская', 'station_id': '4.172', 'line_id': '4', 'lat': 55.750243, 'lng': 37.542641}], 'id': '16657236'}",,,2025-01-12T16:04:43+0300,2025-01-12T16:04:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115330249,,https://api.hh.ru/vacancies/115330249?host=hh.ru,https://hh.ru/vacancy/115330249,[],"{'id': '11468734', 'name': 'Максис', 'url': 'https://api.hh.ru/employers/11468734', 'alternate_url': 'https://hh.ru/employer/11468734', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11468734', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Обязательное знание Adobe Illustrator, Photoshop, Figma. Понимание композиции, умение работать со светом и цветом. Знание стилей графического дизайна, работа с...', 'responsibility': 'Разработка эффективных привлекательных дизайнов для продуктов, включая дизайн упаковки, этикеток, логотипов и других элементов брендинга. Базовая обработка изображений (ретушь, цветокоррекция). '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'REMOTE', 'name': 'Удалённо'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115089337,False,Travel менеджер,,False,False,"{'id': '29', 'name': 'Махачкала', 'url': 'https://api.hh.ru/areas/29'}","{'from': 60000, 'to': 120000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Махачкала', 'street': 'улица Гагарина', 'building': '70А', 'lat': 42.95567810199504, 'lng': 47.50433875966994, 'description': None, 'raw': 'Махачкала, улица Гагарина, 70А', 'metro': None, 'metro_stations': [], 'id': '11879695'}",,,2025-01-08T13:35:25+0300,2025-01-08T13:35:25+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115089337,,https://api.hh.ru/vacancies/115089337?host=hh.ru,https://hh.ru/vacancy/115089337,[],"{'id': '8889802', 'name': 'Halal Travel Services', 'url': 'https://api.hh.ru/employers/8889802', 'alternate_url': 'https://hh.ru/employer/8889802', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1186585.png', '90': 'https://img.hhcdn.ru/employer-logo/6366762.png', '240': 'https://img.hhcdn.ru/employer-logo/6366763.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=8889802', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Имеете навыки продаж и отлично находите общий язык с новыми людьми. Умеете выстраивать диалог и грамотно общаться. Внимательны к деталям. ', 'responsibility': 'Консультации клиентов по отдыху, отелям, пляжам, достопримечательностям и ценам на туры. Качественное обслуживание клиентов, общение с клиентами по телефону и...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '72', 'name': 'Менеджер по туризму'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",True,,False,
4,115309805,False,Менеджер по продажам (без поиска клиентов),,False,False,"{'id': '11', 'name': 'Барнаул', 'url': 'https://api.hh.ru/areas/11'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Барнаул', 'street': 'Павловский тракт', 'building': '313Г', 'lat': 53.346355, 'lng': 83.633836, 'description': None, 'raw': 'Барнаул, Павловский тракт, 313Г', 'metro': None, 'metro_stations': [], 'id': '16656970'}",,,2025-01-11T23:40:14+0300,2025-01-11T23:40:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115309805,,https://api.hh.ru/vacancies/115309805?host=hh.ru,https://hh.ru/vacancy/115309805,[],"{'id': '11468734', 'name': 'Максис', 'url': 'https://api.hh.ru/employers/11468734', 'alternate_url': 'https://hh.ru/employer/11468734', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11468734', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Имеете грамотную устную и письменную речь, умеете слушать и слышать клиента. Имеете успешный опыт работы в продажах по телефону или...', 'responsibility': 'Обрабатывать входящие обращения клиентов по телефону и в мессенджерах, а также личные встречи в шоу руме. Заниматься продажами лодок, лодочных...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '70', 'name': 'Менеджер по продажам, менеджер по работе с клиентами'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115365875,False,Менеджер по продажам (без поиска клиентов),,False,False,"{'id': '26', 'name': 'Воронеж', 'url': 'https://api.hh.ru/areas/26'}","{'from': 120000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Воронеж', 'street': 'Пеше-Стрелецкая улица', 'building': '90Б', 'lat': 51.657344, 'lng': 39.142346, 'description': None, 'raw': 'Воронеж, Пеше-Стрелецкая улица, 90Б', 'metro': None, 'metro_stations': [], 'id': '17263176'}",,,2025-01-13T09:36:56+0300,2025-01-13T09:36:56+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115365875,,https://api.hh.ru/vacancies/115365875?host=hh.ru,https://hh.ru/vacancy/115365875,[],"{'id': '11468734', 'name': 'Максис', 'url': 'https://api.hh.ru/employers/11468734', 'alternate_url': 'https://hh.ru/employer/11468734', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11468734', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Имеете грамотную устную и письменную речь, умеете слушать и слышать клиента. Имеете успешный опыт работы в продажах по телефону или...', 'responsibility': 'Обрабатывать входящие обращения клиентов по телефону и в мессенджерах, а также личные встречи в шоу руме. Заниматься продажами лодок, лодочных...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '70', 'name': 'Менеджер по продажам, менеджер по работе с клиентами'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115364581,False,Руководитель строительного проекта,,False,False,"{'id': '72', 'name': 'Пермь', 'url': 'https://api.hh.ru/areas/72'}","{'from': 200000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Пермь', 'street': 'Сибирская улица', 'building': '49', 'lat': 58.004757, 'lng': 56.253913, 'description': None, 'raw': 'Пермь, Сибирская улица, 49', 'metro': None, 'metro_stations': [], 'id': '14975785'}",,,2025-01-13T09:28:22+0300,2025-01-13T09:28:22+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115364581,,https://api.hh.ru/vacancies/115364581?host=hh.ru,https://hh.ru/vacancy/115364581,[],"{'id': '9376124', 'name': 'Новая Губаха', 'url': 'https://api.hh.ru/employers/9376124', 'alternate_url': 'https://hh.ru/employer/9376124', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9376124', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы на соответствующих должностях, либо со схожими функциональными обязанностями. Высшее профессиональное строительное образование. Знание и понимание необходимых ГОСТов и...', 'responsibility': 'Обеспечение выполнения работ по строительству, целевое и рациональное использование ресурсов. Возглавлять работу по улучшению и удешевлению проектно-изыскательских работ, совершенствование...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '108', 'name': 'Руководитель строительного проекта'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115322807,False,Директор/ менеджер по закупкам,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-12T11:23:49+0300,2025-01-12T11:23:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115322807,,https://api.hh.ru/vacancies/115322807?host=hh.ru,https://hh.ru/vacancy/115322807,[],"{'id': '370', 'name': 'АльфаСтрахование', 'url': 'https://api.hh.ru/employers/370', 'alternate_url': 'https://hh.ru/employer/370', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/3553164.png', '90': 'https://img.hhcdn.ru/employer-logo/3553163.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/778068.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=370', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт руководителя закупочной деятельностью в крупной компании не менее 5 лет. Опыт проведения закупочной деятельности в категории ИТ. ', 'responsibility': 'Взаимодействие с подразделениями компании с целью консультации, планирования и проведения закупочных процедур. Полный цикл организации, планирования и проведения закупочных процессов. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '66', 'name': 'Менеджер по закупкам'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115304160,False,Руководитель отдела информационных технологий (Руководитель IT-отдела),,False,False,"{'id': '54', 'name': 'Красноярск', 'url': 'https://api.hh.ru/areas/54'}","{'from': 150000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'посёлок городского типа Черёмушки', 'street': None, 'building': None, 'lat': 52.850614, 'lng': 91.419938, 'description': None, 'raw': 'посёлок городского типа Черёмушки', 'metro': None, 'metro_stations': [], 'id': '14494216'}",,,2025-01-11T19:23:12+0300,2025-01-11T19:23:12+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115304160,,https://api.hh.ru/vacancies/115304160?host=hh.ru,https://hh.ru/vacancy/115304160,[],"{'id': '10390829', 'name': 'РусГидро Туризм', 'url': 'https://api.hh.ru/employers/10390829', 'alternate_url': 'https://hh.ru/employer/10390829', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6971887.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1337974.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/6971886.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10390829', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование в сфере IT. Опыт работы не менее 5 лет в аналогичной должности, наличие опыта работы в гостиничной сфере...', 'responsibility': 'Управление службой IT (в подчинении 1-2 человека). Формирование стандартов и алгоритмов работы отдела. IT-аудит компании, информационная безопасность, матрица...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115145250,False,Руководитель загородного клуба,,False,False,"{'id': '1364', 'name': 'Стерлитамак', 'url': 'https://api.hh.ru/areas/1364'}","{'from': 90000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-09T13:12:24+0300,2025-01-09T13:12:24+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115145250,,https://api.hh.ru/vacancies/115145250?host=hh.ru,https://hh.ru/vacancy/115145250,[],"{'id': '5820579', 'name': 'Интерстрой', 'url': 'https://api.hh.ru/employers/5820579', 'alternate_url': 'https://hh.ru/employer/5820579', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5820579', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование - <highlighttext>туризм</highlighttext>, экономическое (профильное образование приветствуется).  Опыт работы не менее 3-х лет на должности старшего администратора СПиР, управляющего...', 'responsibility': 'оперативное управление службой приема и размещения гостей.  формирование эффективной команды.  подбор, обучение и управление персоналом (администраторы, отдел бронирования).  '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
