,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,branding,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115411619,False,Генеральный директор (CEO),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 1500000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T13:43:51+0300,2025-01-13T13:43:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115411619,"{'type': 'CONSTRUCTOR', 'tariff': 'BASIC'}",True,,https://api.hh.ru/vacancies/115411619?host=hh.ru,https://hh.ru/vacancy/115411619,[],"{'id': '4174077', 'name': 'StaffRecruitment', 'url': 'https://api.hh.ru/employers/4174077', 'alternate_url': 'https://hh.ru/employer/4174077', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/663804.png', '240': 'https://img.hhcdn.ru/employer-logo/3096349.png', '90': 'https://img.hhcdn.ru/employer-logo/3096348.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4174077', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Отличные знания финансового рынка и современных финансовых инструментов. Высшее образование в области экономики, <highlighttext>финансов</highlighttext> или управления. Способность разрабатывать и реализовывать...', 'responsibility': 'Разработка и внедрение стратегического планирования с фокусом на рост бизнеса и оптимизацию процессов. Управление всеми операционными и финансовыми аспектами работы...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],[],"[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'FLEXIBLE', 'name': 'Свободный'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115433097,False,Руководитель направления Финансового отдела дочернего общества,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:26:11+0300,2025-01-13T16:26:11+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115433097,,,"{'id': '30809', 'url': 'https://hh.ru/interview/30809?employerId=247679'}",https://api.hh.ru/vacancies/115433097?host=hh.ru,https://hh.ru/vacancy/115433097,[],"{'id': '247679', 'name': 'Зарубежнефть', 'url': 'https://api.hh.ru/employers/247679', 'alternate_url': 'https://hh.ru/employer/247679', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/1601046.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/289663.jpg', '240': 'https://img.hhcdn.ru/employer-logo/1601047.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=247679', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее профессиональное образование (<highlighttext>Финансы</highlighttext> и кредит, экономика и управление на предприятиях ТЭК). Опыт работы по специальности в компаниях нефтегазовой отрасли...', 'responsibility': 'Формирование бюджетов движения денежных средств (год, месяц). Формирование управленческой отчетности в части движения денежных средств, оборотного капитала. Осуществление контроля за...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '137', 'name': 'Финансовый менеджер'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115433843,False,Генеральный директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 900000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:29:33+0300,2025-01-13T16:29:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115433843,,,,https://api.hh.ru/vacancies/115433843?host=hh.ru,https://hh.ru/vacancy/115433843,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'высшее образование, желательно оконченный МВА по стратегическому менеджменту и <highlighttext>финансам</highlighttext>. - опыт работы на позиции топ-менеджера компании не менее 10...', 'responsibility': 'организационное, финансовое и операционное управление компанией. - анализ рынка и определение направлений развития, разработка и реализация стратегических планов по расширению бизнеса. - '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115371306,False,Директор филиала,,False,False,"{'id': '26', 'name': 'Воронеж', 'url': 'https://api.hh.ru/areas/26'}","{'from': 280000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Северодонецк', 'street': 'улица Пивоварова', 'building': None, 'lat': 48.93542, 'lng': 38.478113, 'description': None, 'raw': 'Северодонецк, улица Пивоварова', 'metro': None, 'metro_stations': [], 'id': '17263578'}",,,2025-01-13T10:05:51+0300,2025-01-13T10:05:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115371306,,,,https://api.hh.ru/vacancies/115371306?host=hh.ru,https://hh.ru/vacancy/115371306,[],"{'id': '11046118', 'name': 'Револт', 'url': 'https://api.hh.ru/employers/11046118', 'alternate_url': 'https://hh.ru/employer/11046118', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11046118', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее (желательно техническое) образование. Опыт руководства химическим производством не менее 5-ти лет. Коммуникабельность.', 'responsibility': 'Руководить в соответствии с действующим законодательством производственно-хозяйственной и финансово-экономической деятельностью филиала, неся всю полноту ответственности за последствия принимаемых...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '161', 'name': 'Руководитель филиала'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115414134,False,Chief Financial Officer / Финансовый директор,,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T14:03:23+0300,2025-01-13T14:03:23+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115414134,,,,https://api.hh.ru/vacancies/115414134?host=hh.ru,https://hh.ru/vacancy/115414134,[],"{'id': '3927492', 'name': 'Зигмунд Онлайн', 'url': 'https://api.hh.ru/employers/3927492', 'alternate_url': 'https://hh.ru/employer/3927492', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/7075627.png', '90': 'https://img.hhcdn.ru/employer-logo/7075626.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1363929.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3927492', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Опыт работы от 3-х лет на руководящих позициях на позиции финансового директора и/или заместител финансового директора. ', 'responsibility': 'Перевод компании на новую модель работы: переход на агентскую систему работы с исполнителями. Управление финансовой и административной командой: <highlighttext>финансы</highlighttext> и...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '135', 'name': 'Финансовый директор (CFO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115368734,False,Финансовый директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'anonymous', 'name': 'Анонимная'}",,,,2025-01-13T09:54:29+0300,2025-01-13T09:54:29+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115368734,,,,https://api.hh.ru/vacancies/115368734?host=hh.ru,https://hh.ru/vacancy/115368734,[],"{'name': 'Торгово-производственная компания', 'trusted': True}","{'requirement': 'опыт работы с ВЭД. - работа с маркетплейсами: WB, Озон, Ламода и другие каналы продаж. - опыт работы в производственной компании, средний...', 'responsibility': 'анализ финансовых показателей. - оценка текущего финансового положения компании: доходы, расходы, прибыль и долговые обязательства. -бюджетирование - разработка и утверждение бюджета, согласование...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '137', 'name': 'Финансовый менеджер'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115413058,False,Финансовый директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 700000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T13:54:05+0300,2025-01-13T13:54:05+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115413058,"{'type': 'CONSTRUCTOR', 'tariff': 'BASIC'}",True,,https://api.hh.ru/vacancies/115413058?host=hh.ru,https://hh.ru/vacancy/115413058,[],"{'id': '4174077', 'name': 'StaffRecruitment', 'url': 'https://api.hh.ru/employers/4174077', 'alternate_url': 'https://hh.ru/employer/4174077', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/663804.png', '240': 'https://img.hhcdn.ru/employer-logo/3096349.png', '90': 'https://img.hhcdn.ru/employer-logo/3096348.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4174077', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высокие навыки финансового анализа, бюджетирования и управления <highlighttext>финансами</highlighttext>. Английский язык будет преимуществом. Опыт работы в условиях быстро меняющейся экономической среды...', 'responsibility': 'Формирование и реализация финансовой стратегии компании, включая краткосрочное и долгосрочное планирование. Управление финансовыми потоками, разработка и контроль бюджета, осуществление финансового...'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],[],"[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'FLEXIBLE', 'name': 'Свободный'}]",False,"[{'id': '135', 'name': 'Финансовый директор (CFO)'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115428104,False,Директор по развитию дилерской сети,,False,False,"{'id': '99', 'name': 'Уфа', 'url': 'https://api.hh.ru/areas/99'}","{'from': 180000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Уфа', 'street': 'улица Менделеева', 'building': '134/7', 'lat': 54.71631, 'lng': 56.008054, 'description': None, 'raw': 'Уфа, улица Менделеева, 134/7', 'metro': None, 'metro_stations': [], 'id': '7234200'}",,,2025-01-13T15:53:51+0300,2025-01-13T15:53:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115428104,,,,https://api.hh.ru/vacancies/115428104?host=hh.ru,https://hh.ru/vacancy/115428104,[],"{'id': '2712354', 'name': 'Энком', 'url': 'https://api.hh.ru/employers/2712354', 'alternate_url': 'https://hh.ru/employer/2712354', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/3612027.png', '240': 'https://img.hhcdn.ru/employer-logo/3612028.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/792785.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2712354', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы в должности торгового представителя, директора по продажам или руководителя отдела дилерской сети в данной либо смежной отрасли не...', 'responsibility': 'Управление командой менеджеров (мотивация, обучение, развитие). Взаимодействие с отделами логистики и <highlighttext>финансов</highlighttext>, в части своевременного обмена информацией и координации действий. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '129', 'name': 'Торговый представитель'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115353726,False,Генеральный директор производственной компании,,False,False,"{'id': '112', 'name': 'Ярославль', 'url': 'https://api.hh.ru/areas/112'}","{'from': None, 'to': 500000, 'currency': 'RUR', 'gross': False}","{'id': 'anonymous', 'name': 'Анонимная'}",,,,2025-01-13T07:59:33+0300,2025-01-13T07:59:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115353726,,,,https://api.hh.ru/vacancies/115353726?host=hh.ru,https://hh.ru/vacancy/115353726,[],"{'name': 'Деревообрабатывающее производство', 'trusted': True}","{'requirement': 'Организационные и коммуникативные навыки, реальный управленческий опыт на деревообрабатывающем предприятии от 5 лет. Знание современных технологий управления, методик построения моделей...', 'responsibility': 'Оперативное управление производством, лесозаготовкой, <highlighttext>финансами</highlighttext>, закупками, продажами, логистикой. Совершенствование организации производства, технологии и автоматизации производственных процессов. Организация эффективного взаимодействия структурных...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115417681,False,Финансовый директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'деревня Шарапово', 'street': 'Придорожная улица', 'building': '1', 'lat': 55.581246, 'lng': 37.167139, 'description': None, 'raw': 'деревня Шарапово, Придорожная улица, 1', 'metro': None, 'metro_stations': [], 'id': '14194457'}",,,2025-01-13T14:29:59+0300,2025-01-13T14:29:59+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115417681,,,,https://api.hh.ru/vacancies/115417681?host=hh.ru,https://hh.ru/vacancy/115417681,[],"{'id': '676167', 'name': 'Очаковская Логистическая Компания', 'url': 'https://api.hh.ru/employers/676167', 'alternate_url': 'https://hh.ru/employer/676167', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/745010.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/153841.jpg', '240': 'https://img.hhcdn.ru/employer-logo/745011.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=676167', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы на позиции финансового директора или заместителя финансового директора от 3-х лет в транспортных (логистических) компаниях и холдингах. ', 'responsibility': 'Разрабатывать учетную политику Компании. Организовывать финансовый документооборот. Разрабатывать и внедрять единые формы и форматы финансово-управленческих отчётов. Готовить отчеты бизнес...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '135', 'name': 'Финансовый директор (CFO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
