,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115433873,False,Исполнительный директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 700000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:29:47+0300,2025-01-13T16:29:47+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115433873,,,https://api.hh.ru/vacancies/115433873?host=hh.ru,https://hh.ru/vacancy/115433873,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'высшее образование . -опыт работы в руководящей должности в компании численностью не менее 50 человек. -релевантный управленческий опыт не менее 5...', 'responsibility': 'реализация стратегии компании. -увеличение выручки, прибыли и показателей рентабельности. -установление связей с ключевыми клиентами и партнерами. -укрепление репутации брендов на...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115434082,False,Директор по персоналу,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 600000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:30:50+0300,2025-01-13T16:30:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115434082,,,https://api.hh.ru/vacancies/115434082?host=hh.ru,https://hh.ru/vacancy/115434082,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование, желательно наличие MBA. -Опыт работы HRD от 3 лет. -Управление командой — системное мышление, организация, анализ, контроль, планирование, мотивация...', 'responsibility': 'Коммуникация — межличностное взаимодействие, влияние, ведение переговоров, управление конфликтами. -Управление департаментом персонала (отдел подбора персонала, отдел кадрового администрирования и отдел компенсаций...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '38', 'name': 'Директор по персоналу (HRD)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115442918,False,Персональный водитель,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T17:53:20+0300,2025-01-13T17:53:20+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115442918,True,,https://api.hh.ru/vacancies/115442918?host=hh.ru,https://hh.ru/vacancy/115442918,[],"{'id': '803966', 'name': 'ГЕНЕРИУМ', 'url': 'https://api.hh.ru/employers/803966', 'alternate_url': 'https://hh.ru/employer/803966', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/3535147.png', '240': 'https://img.hhcdn.ru/employer-logo/3535148.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/773564.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=803966', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы персональным водителем у первых лиц компании от 2-х лет. Знание и соблюдение ПДД, хорошее знание города Москвы...', 'responsibility': 'Своевременно подавать автомобиль. Осуществлять поездки с руководителем по городу, области и регионам (в основном поездки по Москве, в Зеленоград и...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '21', 'name': 'Водитель'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115434009,False,Главный бухгалтер,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 330000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:30:35+0300,2025-01-13T16:30:35+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115434009,,,https://api.hh.ru/vacancies/115434009?host=hh.ru,https://hh.ru/vacancy/115434009,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'опыт работы в руководящей должности в области бухгалтерии не менее 10 лет. - глубокое понимание бухгалтерии и финансового управления. - ', 'responsibility': 'организация и контроль бухгалтерского учета и отчетности в соответствии с законодательством и стандартами. - разработка и внедрение мер по оптимизации финансовых...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '18', 'name': 'Бухгалтер'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115434165,False,Руководитель проектов,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 450000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:31:25+0300,2025-01-13T16:31:25+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115434165,,,https://api.hh.ru/vacancies/115434165?host=hh.ru,https://hh.ru/vacancy/115434165,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'опыт управления проектами по разработке ПО, предпочтительно заказной. -умение планировать работы. -коммуникабельность. -способность работать в режиме многозадачности. -знание современных методологий...', 'responsibility': 'по управлению проектами (PMBOK, PRINCE2, Agile, Scrum и т.д.), По планированию работ (Project, Jira и т.д.). -'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '107', 'name': 'Руководитель проектов'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,99576179,False,Повар заготовочного цеха (м. Прокшино),"{'id': '816144-816144-darkst', 'name': 'ВкусВилл. Даркстор'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 60000, 'to': 80000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Новомосковский административный округ', 'street': 'бульвар Веласкеса', 'building': '1к1', 'lat': 55.591793, 'lng': 37.454861, 'description': None, 'raw': 'Новомосковский административный округ, бульвар Веласкеса, 1к1', 'metro': None, 'metro_stations': [], 'id': '15921939'}",,,2025-01-07T13:51:24+0300,2025-01-07T13:51:24+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=99576179,True,,https://api.hh.ru/vacancies/99576179?host=hh.ru,https://hh.ru/vacancy/99576179,[],"{'id': '816144', 'name': 'ВкусВилл', 'url': 'https://api.hh.ru/employers/816144', 'alternate_url': 'https://hh.ru/employer/816144', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/4154421.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/4154420.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/928465.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=816144', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы от 6 мес. - Чистоплотность и коммуникабельность. - Желание развиваться.', 'responsibility': 'пеpвичная обpабoткa фруктов и овoщей (мойка, очистка). - зaгoтовка полуфaбpикатов. - пригoтовлeние дecертов (гoтoвим клубнику в шoколаде и прочее). - приготовление блюд по...'}",,"{'id': 'shift', 'name': 'Сменный график'}",[],[],[],False,[],[],"[{'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}]",False,"[{'id': '94', 'name': 'Повар, пекарь, кондитер'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115434100,False,Финансовый директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 600000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:31:00+0300,2025-01-13T16:31:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115434100,,,https://api.hh.ru/vacancies/115434100?host=hh.ru,https://hh.ru/vacancy/115434100,[],"{'id': '10888840', 'name': 'WWAVE SPACE', 'url': 'https://api.hh.ru/employers/10888840', 'alternate_url': 'https://hh.ru/employer/10888840', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1249801.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6619633.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6619634.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10888840', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'опыт работы в компаниях ИТ-сектора является преимуществом. -владение Excel и интсрументами построения диаграмм на продвинутом уровне. -опыт работы в...', 'responsibility': 'разрабатывать архитектуру управленческого учета. -формировать комплект управленческой отчетности и презентовать её собственнику бизнеса и акционерам. -анализировать отчетность и предоставлять информацию...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '135', 'name': 'Финансовый директор (CFO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115428104,False,Директор по развитию дилерской сети,,False,False,"{'id': '99', 'name': 'Уфа', 'url': 'https://api.hh.ru/areas/99'}","{'from': 180000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Уфа', 'street': 'улица Менделеева', 'building': '134/7', 'lat': 54.71631, 'lng': 56.008054, 'description': None, 'raw': 'Уфа, улица Менделеева, 134/7', 'metro': None, 'metro_stations': [], 'id': '7234200'}",,,2025-01-13T15:53:51+0300,2025-01-13T15:53:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115428104,,,https://api.hh.ru/vacancies/115428104?host=hh.ru,https://hh.ru/vacancy/115428104,[],"{'id': '2712354', 'name': 'Энком', 'url': 'https://api.hh.ru/employers/2712354', 'alternate_url': 'https://hh.ru/employer/2712354', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/3612027.png', '240': 'https://img.hhcdn.ru/employer-logo/3612028.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/792785.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2712354', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы в должности торгового представителя, директора по продажам или руководителя отдела дилерской сети в данной либо смежной отрасли не...', 'responsibility': 'Ваша основная задача - разработка и внедрение стратегии развития дилерской сети. Постоянное взаимодействие с дилерами, в т. ч оказание консультационной поддержки...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '129', 'name': 'Торговый представитель'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115394511,False,Менеджер по подбору персонала,,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T11:57:00+0300,2025-01-13T11:57:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115394511,True,,https://api.hh.ru/vacancies/115394511?host=hh.ru,https://hh.ru/vacancy/115394511,[],"{'id': '766468', 'name': 'S7 Group', 'url': 'https://api.hh.ru/employers/766468', 'alternate_url': 'https://hh.ru/employer/766468', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6290394.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1167489.png', '240': 'https://img.hhcdn.ru/employer-logo/6290395.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=766468', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Креативность в сорсинге специалистов, готовность быстро включиться в работу. Результата – релевантные резюме и вышедших на работу сотрудников. Опыт работы в...', 'responsibility': 'Вести полный цикл найма от снятия вакансии у нанимающего менеджера до выставления Job offer кандидату (back-office и технические вакансии). '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '69', 'name': 'Менеджер по персоналу'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115361341,False,Личный водитель руководителя с графиком 2/2/3 (с проживанием) и с графиком 5/2 (без проживания),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 120000, 'to': 130000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Славянская площадь', 'building': '2/5/4с3', 'lat': 55.752739, 'lng': 37.634586, 'description': None, 'raw': 'Москва, Славянская площадь, 2/5/4с3', 'metro': None, 'metro_stations': [], 'id': '379676'}",,,2025-01-13T09:09:32+0300,2025-01-13T09:09:32+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115361341,,,https://api.hh.ru/vacancies/115361341?host=hh.ru,https://hh.ru/vacancy/115361341,[],"{'id': '1517492', 'name': 'ИНТЕРМЕТСЕРВИС', 'url': 'https://api.hh.ru/employers/1517492', 'alternate_url': 'https://hh.ru/employer/1517492', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1517492', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы персональным\\семейным водителем от 3-х лет (ОБЯЗАТЕЛЬНО). Опыт работы на машинах представительского класса. Пунктуальность, исполнительность. ', 'responsibility': 'Встречи/проводы в аэропортах‚ вокзалах; отвезти/забрать <highlighttext>фитнес</highlighttext>-клуб, дни рождения‚ встречи. Работа с семьей (продукты, химчистки, прачечные и пр.).'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,[],[],"[{'id': 'HOURS_10', 'name': '10\xa0часов'}]","[{'id': 'OTHER', 'name': 'Другое'}]",False,"[{'id': '21', 'name': 'Водитель'}]",True,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
