,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115402915,False,Юрист общей практики в крупный холдинг,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 250000, 'to': 250000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T12:50:19+0300,2025-01-13T12:50:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115402915,,,https://api.hh.ru/vacancies/115402915?host=hh.ru,https://hh.ru/vacancy/115402915,[],"{'id': '5113582', 'name': 'ЮТИМ', 'url': 'https://api.hh.ru/employers/5113582', 'alternate_url': 'https://hh.ru/employer/5113582', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1074198.png', '240': 'https://img.hhcdn.ru/employer-logo/5917422.png', '90': 'https://img.hhcdn.ru/employer-logo/5917421.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5113582', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое образование. Опыт работы <highlighttext>юристом</highlighttext> от 3-х лет в аналогичной сфере желательно в транспортных компаниях .', 'responsibility': 'Функционал: Юридическое сопровождение деятельности Общества. Ведение договорной деятельности, включая разработку, согласование и заключение договоров различных направлений(оказание услуг, выполнение работа...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '146', 'name': 'Юрист'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115403191,False,Начальник транспортного отдела,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': '3-я Рыбинская улица', 'building': '18с22', 'lat': 55.789674, 'lng': 37.659191, 'description': None, 'raw': 'Москва, 3-я Рыбинская улица, 18с22', 'metro': None, 'metro_stations': [], 'id': '17265597'}",,,2025-01-13T12:43:39+0300,2025-01-13T12:43:39+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115403191,True,,https://api.hh.ru/vacancies/115403191?host=hh.ru,https://hh.ru/vacancy/115403191,[],"{'id': '3558', 'name': 'iFCM', 'url': 'https://api.hh.ru/employers/3558', 'alternate_url': 'https://hh.ru/employer/3558', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6917375.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1324336.png', '90': 'https://img.hhcdn.ru/employer-logo/6917374.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3558', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Управление автотранспортным предприятием от 6 лет. Знание рынка поставок и лизинга транспортных средств. Умение оперативно решать возникающие вопросы. ', 'responsibility': 'Оперативная деятельность по управлению процессами транспортной логистики компании (собственный автопарк). Ведение переговоров с поставщиками и дилерами для достижения максимально выгодных...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '67', 'name': 'Менеджер по логистике, менеджер по ВЭД'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115437452,False,Старший юрист,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 360000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T16:50:58+0300,2025-01-13T16:50:58+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115437452,,,https://api.hh.ru/vacancies/115437452?host=hh.ru,https://hh.ru/vacancy/115437452,[],"{'id': '11597785', 'name': 'ЛЧ Лигал', 'url': 'https://api.hh.ru/employers/11597785', 'alternate_url': 'https://hh.ru/employer/11597785', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/7042807.png', '90': 'https://img.hhcdn.ru/employer-logo/7042806.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1355724.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11597785', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое образование. Опыт работы в юридической фирме от 3-х лет. Опыт работы по проектам, связанным с решением задачам...', 'responsibility': '...другой <highlighttext>юрист</highlighttext>. Участие в проведении юридических проверок (due diligence), в т.ч. ведение проекта в целом и координация работы <highlighttext>юристов</highlighttext>...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '146', 'name': 'Юрист'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115443137,False,Юрист,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 250000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Рублёвское шоссе', 'building': '11к2', 'lat': 55.729924, 'lng': 37.450845, 'description': None, 'raw': 'Москва, Рублёвское шоссе, 11к2', 'metro': {'station_name': 'Кунцевская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.69', 'line_id': '3', 'lat': 55.730673, 'lng': 37.446522}, 'metro_stations': [{'station_name': 'Кунцевская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.69', 'line_id': '3', 'lat': 55.730673, 'lng': 37.446522}, {'station_name': 'Кунцевская', 'line_name': 'Филевская', 'station_id': '4.471', 'line_id': '4', 'lat': 55.730815, 'lng': 37.446754}, {'station_name': 'Кунцевская', 'line_name': 'Большая кольцевая линия', 'station_id': '97.810', 'line_id': '97', 'lat': 55.730278, 'lng': 37.445833}], 'id': '15158873'}",,,2025-01-13T17:55:46+0300,2025-01-13T17:55:46+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115443137,,,https://api.hh.ru/vacancies/115443137?host=hh.ru,https://hh.ru/vacancy/115443137,[],"{'id': '224839', 'name': 'ПерилаГлавСнаб', 'url': 'https://api.hh.ru/employers/224839', 'alternate_url': 'https://hh.ru/employer/224839', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1186817.png', '90': 'https://img.hhcdn.ru/employer-logo/6367690.png', '240': 'https://img.hhcdn.ru/employer-logo/6367691.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=224839', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое образование. Опыт работы в консалтинге. Общий опыт работы по профилю- не менее 1 года после получения диплома. ', 'responsibility': 'Взыскивать денежные стредства по стройподряду. Оформлять земельные участки и постройки. Решать корпоративные споры. Решать вопросы с авторскими правами. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '146', 'name': 'Юрист'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115422730,False,Руководитель юридического отдела,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': 220000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Дзержинский', 'street': 'улица Энергетиков', 'building': '14', 'lat': 55.640162, 'lng': 37.825218, 'description': None, 'raw': 'Дзержинский, улица Энергетиков, 14', 'metro': None, 'metro_stations': [], 'id': '13192796'}",,,2025-01-13T15:13:31+0300,2025-01-13T15:13:31+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115422730,,,https://api.hh.ru/vacancies/115422730?host=hh.ru,https://hh.ru/vacancy/115422730,[],"{'id': '40795', 'name': 'ДИАЛОГ', 'url': 'https://api.hh.ru/employers/40795', 'alternate_url': 'https://hh.ru/employer/40795', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=40795', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Отличное знание гражданского, градостроительного, трудового, миграционного и налогового законодательства, в т.ч. хорошее знание общей части Гражданского кодекса РФ, обязательственной...', 'responsibility': 'Руководство юридическим отделом строительной кампании (в составе 3 <highlighttext>юриста</highlighttext>), в т.ч: распределение и постановка задач, контроль их выполнения, взаимодействие...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '166', 'name': 'Директор юридического департамента (CLO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115414134,False,Chief Financial Officer / Финансовый директор,,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T14:03:23+0300,2025-01-13T14:03:23+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115414134,,,https://api.hh.ru/vacancies/115414134?host=hh.ru,https://hh.ru/vacancy/115414134,[],"{'id': '3927492', 'name': 'Зигмунд Онлайн', 'url': 'https://api.hh.ru/employers/3927492', 'alternate_url': 'https://hh.ru/employer/3927492', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/7075627.png', '90': 'https://img.hhcdn.ru/employer-logo/7075626.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1363929.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3927492', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Опыт управления командой, состоящей из разных функций (финансовая команда, документооборот, <highlighttext>юристы</highlighttext>, HR функция). Опыт реализации сложных проектов: внедрение внутренних систем...', 'responsibility': 'Разработка долгосрочного и краткосрочного финансового бюджета, включая, но не ограничиваясь: Прогнозирование доходов, в разрезе направлений бизнеса. Основных статей расходов. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '135', 'name': 'Финансовый директор (CFO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115402333,False,Юрист (связь),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 180000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Озерковская набережная', 'building': '14с1', 'lat': 55.741475, 'lng': 37.637308, 'description': None, 'raw': 'Москва, Озерковская набережная, 14с1', 'metro': {'station_name': 'Новокузнецкая', 'line_name': 'Замоскворецкая', 'station_id': '2.89', 'line_id': '2', 'lat': 55.742391, 'lng': 37.62928}, 'metro_stations': [{'station_name': 'Новокузнецкая', 'line_name': 'Замоскворецкая', 'station_id': '2.89', 'line_id': '2', 'lat': 55.742391, 'lng': 37.62928}, {'station_name': 'Третьяковская', 'line_name': 'Калужско-Рижская', 'station_id': '6.90', 'line_id': '6', 'lat': 55.74073, 'lng': 37.625624}, {'station_name': 'Третьяковская', 'line_name': 'Калининская', 'station_id': '8.91', 'line_id': '8', 'lat': 55.741125, 'lng': 37.626142}], 'id': '6264803'}",,,2025-01-13T12:37:51+0300,2025-01-13T12:37:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115402333,,,https://api.hh.ru/vacancies/115402333?host=hh.ru,https://hh.ru/vacancy/115402333,[],"{'id': '2131154', 'name': 'Глонасс', 'url': 'https://api.hh.ru/employers/2131154', 'alternate_url': 'https://hh.ru/employer/2131154', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/368311.png', '90': 'https://img.hhcdn.ru/employer-logo/1915502.png', '240': 'https://img.hhcdn.ru/employer-logo/1915503.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2131154', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое образование. Microsoft Office. Знания и работа по закону «О Связи» 126-ФЗ, 4 часть ГК РФ (РИД).', 'responsibility': 'Подготовкой и правовой экспертизой договоров на отчуждение исключительных прав, лицензионных договоров, договоров подряда и т.д. Правовой экспертизой и согласованием...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '146', 'name': 'Юрист'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115355815,False,Делопроизводитель по военному праву,,False,False,"{'id': '69', 'name': 'Орел', 'url': 'https://api.hh.ru/areas/69'}","{'from': 50000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Орёл', 'street': 'улица Максима Горького', 'building': '28', 'lat': 52.971184, 'lng': 36.065912, 'description': None, 'raw': 'Орёл, улица Максима Горького, 28', 'metro': None, 'metro_stations': [], 'id': '11661836'}",,,2025-01-13T08:23:11+0300,2025-01-13T08:23:11+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115355815,,,https://api.hh.ru/vacancies/115355815?host=hh.ru,https://hh.ru/vacancy/115355815,[],"{'id': '4134956', 'name': 'Юрист Для Людей', 'url': 'https://api.hh.ru/employers/4134956', 'alternate_url': 'https://hh.ru/employer/4134956', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1065852.jpg', '90': 'https://img.hhcdn.ru/employer-logo/5884041.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/5884042.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4134956', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Ответственность. Коммуникабельность. Умение вести деловую переписку. Грамотная устная и письменная речь. Многозадачность. Стрессоустойчивость. Готовность работать с военнослужащими. Готовность остаться на...', 'responsibility': 'Консультирование действующих клиентов (звонок, мессенджер). Передача данных от клиента <highlighttext>юристу</highlighttext> и наоборот без утери данных. Работа в CRM. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '33', 'name': 'Делопроизводитель, архивариус'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115414106,False,Юрисконсульт,,False,False,"{'id': '78', 'name': 'Самара', 'url': 'https://api.hh.ru/areas/78'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Самара', 'street': 'Ново-Садовая улица', 'building': '307А', 'lat': 53.236135, 'lng': 50.192612, 'description': None, 'raw': 'Самара, Ново-Садовая улица, 307А', 'metro': None, 'metro_stations': [], 'id': '16619796'}",,,2025-01-13T14:03:03+0300,2025-01-13T14:03:03+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115414106,,,https://api.hh.ru/vacancies/115414106?host=hh.ru,https://hh.ru/vacancy/115414106,[],"{'id': '962294', 'name': 'Газпром газораспределение Самара', 'url': 'https://api.hh.ru/employers/962294', 'alternate_url': 'https://hh.ru/employer/962294', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/956708.png', '240': 'https://img.hhcdn.ru/employer-logo/956709.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/104552.PNG'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=962294', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое образование. Наличие релевантного опыта работы. Знание гражданского, антимонопольного, земельного, корпоративного, процессуального законодательства, законодательства о государственной регистрации прав на...', 'responsibility': 'Юридическая экспертиза документов, договоров (аренда, поставка, оказание услуг, подряд, ПИР, авторский надзор и т.д.). Разработка стандартных (типовых) форм договоров. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '145', 'name': 'Юрисконсульт'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115435183,False,Юрист,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Рублёвское шоссе', 'building': '11к2', 'lat': 55.729924, 'lng': 37.450845, 'description': None, 'raw': 'Москва, Рублёвское шоссе, 11к2', 'metro': {'station_name': 'Кунцевская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.69', 'line_id': '3', 'lat': 55.730673, 'lng': 37.446522}, 'metro_stations': [{'station_name': 'Кунцевская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.69', 'line_id': '3', 'lat': 55.730673, 'lng': 37.446522}, {'station_name': 'Кунцевская', 'line_name': 'Филевская', 'station_id': '4.471', 'line_id': '4', 'lat': 55.730815, 'lng': 37.446754}, {'station_name': 'Кунцевская', 'line_name': 'Большая кольцевая линия', 'station_id': '97.810', 'line_id': '97', 'lat': 55.730278, 'lng': 37.445833}], 'id': '15158873'}",,,2025-01-13T16:36:44+0300,2025-01-13T16:36:44+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115435183,,,https://api.hh.ru/vacancies/115435183?host=hh.ru,https://hh.ru/vacancy/115435183,[],"{'id': '224839', 'name': 'ПерилаГлавСнаб', 'url': 'https://api.hh.ru/employers/224839', 'alternate_url': 'https://hh.ru/employer/224839', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1186817.png', '90': 'https://img.hhcdn.ru/employer-logo/6367690.png', '240': 'https://img.hhcdn.ru/employer-logo/6367691.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=224839', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое образование. Общий опыт работы по профилю - не менее 1 года после получения диплома. Умение оперативно находить оптимальные решения...', 'responsibility': 'Сопровождение предпринимательской деятельности организаций (суды, налоговые, гос.органы, иски, претензии). Претензионная и судебная работа (составление претензий, подготовка ответов на претензии, составление...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '146', 'name': 'Юрист'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
