,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,branding,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,115402990,False,Контент-менеджер,"{'id': 'mailru-15478-other', 'name': 'VK'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T15:26:23+0300,2025-01-13T15:26:23+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115402990,"{'type': 'MAKEUP', 'tariff': None}",True,,https://api.hh.ru/vacancies/115402990?host=hh.ru,https://hh.ru/vacancy/115402990,[],"{'id': '15478', 'name': 'VK', 'url': 'https://api.hh.ru/employers/15478', 'alternate_url': 'https://hh.ru/employer/15478', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/6808731.png', '90': 'https://img.hhcdn.ru/employer-logo/6808730.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1297111.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=15478', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Обладаете навыками работы с текстами и <highlighttext>дизайна</highlighttext>. Имеете опыт работы ведения канала коммуникации под ключ (желательно наличие успешных кейсов по...', 'responsibility': 'Разрабатывать и реализовывать контент-план для внутренних сообществ клиентского опыта: готовить тексты и <highlighttext>дизайн</highlighttext> по шаблонам для публикаций. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '3', 'name': 'SMM-менеджер, контент-менеджер'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115398512,False,Младший графический дизайнер,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 90000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Большой Саввинский переулок', 'building': '12с16', 'lat': 55.731242, 'lng': 37.561086, 'description': None, 'raw': 'Москва, Большой Саввинский переулок, 12с16', 'metro': {'station_name': 'Киевская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.47', 'line_id': '3', 'lat': 55.743117, 'lng': 37.564132}, 'metro_stations': [{'station_name': 'Киевская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.47', 'line_id': '3', 'lat': 55.743117, 'lng': 37.564132}, {'station_name': 'Лужники', 'line_name': 'МЦК', 'station_id': '95.535', 'line_id': '95', 'lat': 55.720278, 'lng': 37.563056}, {'station_name': 'Спортивная', 'line_name': 'Сокольническая', 'station_id': '1.135', 'line_id': '1', 'lat': 55.722388, 'lng': 37.562041}], 'id': '4960345'}",,,2025-01-13T12:12:54+0300,2025-01-13T12:12:54+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115398512,,,,https://api.hh.ru/vacancies/115398512?host=hh.ru,https://hh.ru/vacancy/115398512,[],"{'id': '3183413', 'name': 'Present&Simple', 'url': 'https://api.hh.ru/employers/3183413', 'alternate_url': 'https://hh.ru/employer/3183413', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/764071.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/3497241.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/3497242.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3183413', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы по специальности в fashion или смежных эстетичных областях. Профессиональное владение ПО: Figma, Adobe Photoshop и Illustrator, Microsoft PowerPoint. ', 'responsibility': 'Разработка креативов для Digital, SMM, CRM, print, POSM и т.п. Разработка <highlighttext>дизайнов</highlighttext> в соответствии с гайдлайнами компании. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '34', 'name': 'Дизайнер, художник'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115405260,False,QA engineer (mobile+front),,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Крылатская улица', 'building': '15', 'lat': 55.769838, 'lng': 37.426492, 'description': None, 'raw': 'Москва, Крылатская улица, 15', 'metro': None, 'metro_stations': [], 'id': '14779937'}",,,2025-01-13T12:59:54+0300,2025-01-13T12:59:54+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115405260,"{'type': 'MAKEUP', 'tariff': None}",True,,https://api.hh.ru/vacancies/115405260?host=hh.ru,https://hh.ru/vacancy/115405260,[],"{'id': '9418714', 'name': 'Lamoda Tech', 'url': 'https://api.hh.ru/employers/9418714', 'alternate_url': 'https://hh.ru/employer/9418714', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1072130.png', '240': 'https://img.hhcdn.ru/employer-logo/5909150.png', '90': 'https://img.hhcdn.ru/employer-logo/5909149.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9418714', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Понимание процессов тестирования и разработки. Практические и уверенные знания тест-<highlighttext>дизайна</highlighttext>. Понимание принципов работы клиент-серверной архитектуры. Опыт работы с...', 'responsibility': 'Разработкой сценариев тестирования (чек-листы). Поддержкой тестовой среды. Проведением функционального тестирования (UI, интеграционное, системное, приёмочное). Взаимодействовать с разработчиками, менеджерами, дизайнерами. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '124', 'name': 'Тестировщик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,112687567,False,Богатырь,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Ленинградский проспект', 'building': '72к4', 'lat': 55.80525, 'lng': 37.519863, 'description': None, 'raw': 'Москва, Ленинградский проспект, 72к4', 'metro': {'station_name': 'Аэропорт', 'line_name': 'Замоскворецкая', 'station_id': '2.12', 'line_id': '2', 'lat': 55.800441, 'lng': 37.530477}, 'metro_stations': [{'station_name': 'Аэропорт', 'line_name': 'Замоскворецкая', 'station_id': '2.12', 'line_id': '2', 'lat': 55.800441, 'lng': 37.530477}, {'station_name': 'Красный Балтиец', 'line_name': 'МЦД-2', 'station_id': '132.721', 'line_id': '132', 'lat': 55.815514, 'lng': 37.526367}, {'station_name': 'Сокол', 'line_name': 'Замоскворецкая', 'station_id': '2.133', 'line_id': '2', 'lat': 55.805564, 'lng': 37.515245}], 'id': '11168265'}",,,2024-12-06T11:25:37+0300,2024-12-06T11:25:37+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=112687567,,,,https://api.hh.ru/vacancies/112687567?host=hh.ru,https://hh.ru/vacancy/112687567,[],"{'id': '1440683', 'name': 'RUTUBE', 'url': 'https://api.hh.ru/employers/1440683', 'alternate_url': 'https://hh.ru/employer/1440683', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/953534.jpg', '240': 'https://img.hhcdn.ru/employer-logo/4254669.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/4254668.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1440683', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Разумение иметь: как люд простой повернуть к нашему видеохостингу передом, ко всему остальному интернету задом. В голове твоей не каша...', 'responsibility': None}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'OTHER', 'name': 'Другое'}]","[{'id': 'OTHER', 'name': 'Другое'}]",False,"[{'id': '68', 'name': 'Менеджер по маркетингу, интернет-маркетолог'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115391265,False,Тестировщик (web),,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-13T11:43:08+0300,2025-01-13T11:43:08+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115391265,,,,https://api.hh.ru/vacancies/115391265?host=hh.ru,https://hh.ru/vacancy/115391265,[],"{'id': '553714', 'name': 'Notamedia', 'url': 'https://api.hh.ru/employers/553714', 'alternate_url': 'https://hh.ru/employer/553714', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/996669.jpg', '90': 'https://img.hhcdn.ru/employer-logo/5607472.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/5607473.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=553714', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Опыт тестирования web-приложений от 1,5 лет. Владение техниками и методологией тестирования ПО. Понимание клиент-серверной архитектуры. ', 'responsibility': 'Тестирование веб-приложений. Локализация и документирование выявленных дефектов. Разработка и поддержка тестовой документации. Взаимодействие с командой для достижения и поддержания...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '124', 'name': 'Тестировщик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115426834,False,Frontend-разработчик (Typescript+React),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Ленинградский проспект', 'building': '36с41', 'lat': 55.789947, 'lng': 37.570051, 'description': None, 'raw': 'Москва, Ленинградский проспект, 36с41', 'metro': {'station_name': 'Петровский парк', 'line_name': 'Большая кольцевая линия', 'station_id': '97.599', 'line_id': '97', 'lat': 55.79233, 'lng': 37.55952}, 'metro_stations': [{'station_name': 'Петровский парк', 'line_name': 'Большая кольцевая линия', 'station_id': '97.599', 'line_id': '97', 'lat': 55.79233, 'lng': 37.55952}], 'id': '15375762'}",,,2025-01-13T15:43:06+0300,2025-01-13T15:43:06+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115426834,"{'type': 'MAKEUP', 'tariff': None}",True,,https://api.hh.ru/vacancies/115426834?host=hh.ru,https://hh.ru/vacancy/115426834,[],"{'id': '10726025', 'name': 'LADA Цифра', 'url': 'https://api.hh.ru/employers/10726025', 'alternate_url': 'https://hh.ru/employer/10726025', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6513537.png', '240': 'https://img.hhcdn.ru/employer-logo/6513538.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1223274.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10726025', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт проектирования масштабируемых и поддерживаемых React-приложений. Знание паттернов проектирования, Atomic <highlighttext>Design</highlighttext>, Compound Components и тд. Навыки работы в команде...', 'responsibility': 'Разработка различных страниц панели управления контентом и бизнес-логики оркестрации в кросс-функциональной команде. Написание различных тестов (unit, end-to...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115366440,False,Операционный директор (COO),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Тверская улица', 'building': '23с1', 'lat': 55.766825, 'lng': 37.600945, 'description': None, 'raw': 'Москва, Тверская улица, 23с1', 'metro': None, 'metro_stations': [], 'id': '13530737'}",,,2025-01-13T09:40:40+0300,2025-01-13T09:40:40+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115366440,,,,https://api.hh.ru/vacancies/115366440?host=hh.ru,https://hh.ru/vacancy/115366440,[],"{'id': '2660353', 'name': 'Детские Инновации', 'url': 'https://api.hh.ru/employers/2660353', 'alternate_url': 'https://hh.ru/employer/2660353', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/2801724.png', '90': 'https://img.hhcdn.ru/employer-logo/2801723.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/590117.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2660353', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'опыт работы на аналогичной должности 7+лет, желательно в фэшен индустрии. - успешный опыт автоматизации бизнес- процессов. - коммерческий подход в работе. - ', 'responsibility': 'До 10 человек в прямом подчинении. Производство: - разработка и внедрение эффективного производственного цикла и календаря. - поиск и анализ сторонних контрагентов...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '87', 'name': 'Операционный директор (COO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,115326194,False,Менеджер проектов,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': 200000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-12T12:37:49+0300,2025-01-12T12:37:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115326194,,,,https://api.hh.ru/vacancies/115326194?host=hh.ru,https://hh.ru/vacancy/115326194,[],"{'id': '11679140', 'name': 'Project Brain', 'url': 'https://api.hh.ru/employers/11679140', 'alternate_url': 'https://hh.ru/employer/11679140', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/7087730.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1366957.jpg', '240': 'https://img.hhcdn.ru/employer-logo/7087731.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11679140', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт управления задачами. Знания процессов проектного управления. Отличные коммуникативные навыки, умение работать с запросами заказчиков и управлять ожиданиями. ', 'responsibility': 'Работать в тесной связке с командами разработки, <highlighttext>дизайна</highlighttext>, маркетинга и других направлений. Вести документацию по проекту. Проводить регулярные встречи с...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '107', 'name': 'Руководитель проектов'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,115335849,False,QA Engineer,,False,False,"{'id': '5291', 'name': 'Лорино (Чукотский АО)', 'url': 'https://api.hh.ru/areas/5291'}","{'from': 125000, 'to': 290000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-12T21:10:08+0300,2025-01-12T21:10:08+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115335849,,,,https://api.hh.ru/vacancies/115335849?host=hh.ru,https://hh.ru/vacancy/115335849,[],"{'id': '9025004', 'name': 'Хантфлоу интеграция УЗ2', 'url': 'https://api.hh.ru/employers/9025004', 'alternate_url': 'https://hh.ru/employer/9025004', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9025004', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Желание развиваться до Fullstack QA. Требования: Уверенное владение техниками тест-<highlighttext>дизайна</highlighttext>, опыт в тестировании от 3х лет. ', 'responsibility': 'Грамотно применять подходящие техники тест-<highlighttext>дизайна</highlighttext> при проектировании тестов для оптимального тестового покрытия. Обеспечивать качество на всех этапах жизненного цикла...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '44', 'name': 'Инженер по качеству'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115332571,False,Дизайнер,,False,False,"{'id': '3', 'name': 'Екатеринбург', 'url': 'https://api.hh.ru/areas/3'}","{'from': 60000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Екатеринбург', 'street': 'Октябрьский район, микрорайон Кольцово, Утренний переулок', 'building': '1Г', 'lat': 56.754677, 'lng': 60.808363, 'description': None, 'raw': 'Екатеринбург, Октябрьский район, микрорайон Кольцово, Утренний переулок, 1Г', 'metro': None, 'metro_stations': [], 'id': '6662128'}",,,2025-01-12T18:06:46+0300,2025-01-12T18:06:46+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115332571,,,,https://api.hh.ru/vacancies/115332571?host=hh.ru,https://hh.ru/vacancy/115332571,[],"{'id': '36860', 'name': 'Уральские авиалинии, Авиакомпания', 'url': 'https://api.hh.ru/employers/36860', 'alternate_url': 'https://hh.ru/employer/36860', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/2595773.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/2595774.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/538575.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=36860', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование. Желателен опыт в сфере <highlighttext>дизайна</highlighttext> полиграфической продукции + наружной рекламы: листовки, каталоги, буклеты, календари. Владение графическим пакетом Adobe...', 'responsibility': 'Функции: Разработка <highlighttext>дизайна</highlighttext> рекламной полиграфии, наружной рекламы, POS-материалов, сувенирной продукции. Верстка технической документации (инструкции, руководства по эксплуатации, гарантийные талоны...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '34', 'name': 'Дизайнер, художник'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
