,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,112761091,False,Управляющий домом на Рублевке,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 400000, 'to': 800000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-12-09T12:37:34+0300,2024-12-09T12:37:34+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=112761091,,https://api.hh.ru/vacancies/112761091?host=hh.ru,https://hh.ru/vacancy/112761091,[],"{'id': '2238910', 'name': 'English Nanny', 'url': 'https://api.hh.ru/employers/2238910', 'alternate_url': 'https://hh.ru/employer/2238910', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2238910', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы по данному направлению. Ответственность, Пунктуальность.', 'responsibility': 'Учет табеля рабочего времени и составление графика <highlighttext>домашнего</highlighttext> <highlighttext>персонала</highlighttext>. Обеспечение работы систем безопасности, жизнеобеспечения и инженерных коммуникаций дома и участка. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'OTHER', 'name': 'Другое'}]","[{'id': 'OTHER', 'name': 'Другое'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115113161,False,Управляющий делами семьи акционера (UHNWI),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 800000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-12T09:37:31+0300,2025-01-12T09:37:31+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115113161,,https://api.hh.ru/vacancies/115113161?host=hh.ru,https://hh.ru/vacancy/115113161,[],"{'id': '198875', 'name': 'Можайская executive', 'url': 'https://api.hh.ru/employers/198875', 'alternate_url': 'https://hh.ru/employer/198875', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/3444834.png', '90': 'https://img.hhcdn.ru/employer-logo/3444833.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/750968.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=198875', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Аналогичный опыт поддержки руководителя (акционер, собственник бизнеса) от 3х лет обязателен. Высшее образование. Английский - advanced. Готовность к командировкам и...', 'responsibility': 'Управление персоналом: формирование команды, взаимодействие с провайдерами, подбор <highlighttext>домашнего</highlighttext> <highlighttext>персонала</highlighttext> (гувернантки, водители, садовники, повара и др.). Организация семейных, частных мероприятий...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115329754,False,Шеф-повар,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 170000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'деревня Поздняково', 'street': 'улица Никольская Слобода', 'building': None, 'lat': 55.793865, 'lng': 37.227084, 'description': None, 'raw': 'деревня Поздняково, улица Никольская Слобода', 'metro': None, 'metro_stations': [], 'id': '16414762'}",,,2025-01-12T15:35:49+0300,2025-01-12T15:35:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115329754,,https://api.hh.ru/vacancies/115329754?host=hh.ru,https://hh.ru/vacancy/115329754,[],"{'id': '11375771', 'name': 'Корнева Наталья Александровна', 'url': 'https://api.hh.ru/employers/11375771', 'alternate_url': 'https://hh.ru/employer/11375771', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11375771', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Профильное образование. Мед.книжка, актуальные анализы. Знание норм хранения продуктов. Понимание технологий приготовления и знание ингредиентов.', 'responsibility': 'Приготовление еды для хозяев, членов семьи и гостей (временно для <highlighttext>домашнего</highlighttext> <highlighttext>персонала</highlighttext>). Составление меню на неделю. Проработка рецептов, технологических карт. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '94', 'name': 'Повар, пекарь, кондитер'}]",True,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,115127549,False,Ассистент генерального директора,,False,False,"{'id': '52', 'name': 'Кострома', 'url': 'https://api.hh.ru/areas/52'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-09T11:26:13+0300,2025-01-09T11:26:13+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115127549,,https://api.hh.ru/vacancies/115127549?host=hh.ru,https://hh.ru/vacancy/115127549,[],"{'id': '1512141', 'name': 'ГК Шанс (ОхотАктив)', 'url': 'https://api.hh.ru/employers/1512141', 'alternate_url': 'https://hh.ru/employer/1512141', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6756358.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1284015.png', '240': 'https://img.hhcdn.ru/employer-logo/6756359.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1512141', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Проактивный, работающий на результат, организованный, способный работать в режиме многозадачности и находить нестандартные подходы. Нам важно: Умение работать в Google...', 'responsibility': 'Поиск и управление подрядчиками – находить надежных и умных людей под различные задачи. - Подбор и контроль работы подрядчиков и <highlighttext>домашнего</highlighttext> <highlighttext>персонала</highlighttext>. - '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '110', 'name': 'Секретарь, помощник руководителя, ассистент'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,115260912,False,Помощник по хозяйству,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-10T15:57:10+0300,2025-01-10T15:57:10+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115260912,,https://api.hh.ru/vacancies/115260912?host=hh.ru,https://hh.ru/vacancy/115260912,[],"{'id': '10509084', 'name': 'Ткаченко Нина', 'url': 'https://api.hh.ru/employers/10509084', 'alternate_url': 'https://hh.ru/employer/10509084', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10509084', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы помощником по хозяйству приветствуется. Ответственность, аккуратность, готовность к физическому труду. Умение обращаться с хоз.инвентарем.', 'responsibility': 'Уборка и поддержание чистоты в птичнике. Дезинфекция инвентаря и оборудования (при необходимости). Уборка придомовой территории (дорожки, газон, клумбы). '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_9', 'name': '9 часов'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}]",False,"[{'id': '130', 'name': 'Уборщица, уборщик'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115039821,False,Семейный/Личный помощник,,False,True,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 250000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Гоголевский бульвар', 'building': '11', 'lat': 55.745848, 'lng': 37.599471, 'description': None, 'raw': 'Москва, Гоголевский бульвар, 11', 'metro': {'station_name': 'Кропоткинская', 'line_name': 'Сокольническая', 'station_id': '1.64', 'line_id': '1', 'lat': 55.745297, 'lng': 37.604217}, 'metro_stations': [{'station_name': 'Кропоткинская', 'line_name': 'Сокольническая', 'station_id': '1.64', 'line_id': '1', 'lat': 55.745297, 'lng': 37.604217}], 'id': '13675398'}",,,2025-01-04T10:24:00+0300,2025-01-04T10:24:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115039821,,https://api.hh.ru/vacancies/115039821?host=hh.ru,https://hh.ru/vacancy/115039821,[],"{'id': '3019709', 'name': 'Керамакс', 'url': 'https://api.hh.ru/employers/3019709', 'alternate_url': 'https://hh.ru/employer/3019709', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1129222.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6137477.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6137478.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3019709', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Референтный опыт работы от 7 лет, в семьях. Сопроводительное письмо обязательно. Готовность к ненормированному рабочему графику. Быть на связи с...', 'responsibility': 'Решение текущих поручений по семейным бытовым вопросам взрослых и детей. Организация работы <highlighttext>домашнего</highlighttext> <highlighttext>персонала</highlighttext>: охрана, водители, домработница, няни (подбор персонала...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '110', 'name': 'Секретарь, помощник руководителя, ассистент'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,115277791,False,Управляющий частным домом,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 83000, 'to': 130000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2025-01-10T21:58:43+0300,2025-01-10T21:58:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115277791,,https://api.hh.ru/vacancies/115277791?host=hh.ru,https://hh.ru/vacancy/115277791,[],"{'id': '11514504', 'name': 'Бадрутдинова Назиля Фагимовна', 'url': 'https://api.hh.ru/employers/11514504', 'alternate_url': 'https://hh.ru/employer/11514504', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11514504', 'accredited_it_employer': False, 'trusted': True}","{'requirement': ""Общительность. Уверенный What's app пользователь."", 'responsibility': 'Контроль работы <highlighttext>домашнего</highlighttext> <highlighttext>персонала</highlighttext>. Организация и уход за прилегающими к дому территориями. Контроль расходов на бытовые нужды.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],"[{'id': 'from_four_to_six_hours_in_a_day', 'name': 'Можно сменами по\xa04-6\xa0часов в\xa0день'}]",[],True,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_6', 'name': '6\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,113701261,False,Персональный ассистент,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 70000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2024-12-16T09:25:36+0300,2024-12-16T09:25:36+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=113701261,,https://api.hh.ru/vacancies/113701261?host=hh.ru,https://hh.ru/vacancy/113701261,[],"{'id': '5347242', 'name': 'Korshunova studio', 'url': 'https://api.hh.ru/employers/5347242', 'alternate_url': 'https://hh.ru/employer/5347242', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1210506.png', '240': 'https://img.hhcdn.ru/employer-logo/6462474.png', '90': 'https://img.hhcdn.ru/employer-logo/6462473.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5347242', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'имеет опыт работы ассистентом от года. - имеет высокий уровень администрирования. - ответственный, пунктуальный и инициативный человек!', 'responsibility': 'организация досуга и подбор <highlighttext>персонала</highlighttext> <highlighttext>для</highlighttext> <highlighttext>дома</highlighttext> (уборка, мастера и т.п.). - транскрибация аудио в текст, ответы в инстраграм на...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '110', 'name': 'Секретарь, помощник руководителя, ассистент'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,112627301,False,Персональный ассистент,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 200000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Замоскворецкая линия', 'building': 'метро Аэропорт', 'lat': 55.800362, 'lng': 37.53305, 'description': None, 'raw': 'Москва, Замоскворецкая линия, метро Аэропорт', 'metro': None, 'metro_stations': [], 'id': '15857729'}",,,2025-01-13T17:14:21+0300,2025-01-13T17:14:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=112627301,,https://api.hh.ru/vacancies/112627301?host=hh.ru,https://hh.ru/vacancy/112627301,[],"{'id': '10894499', 'name': 'Orion Solutions', 'url': 'https://api.hh.ru/employers/10894499', 'alternate_url': 'https://hh.ru/employer/10894499', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1250822.png', '90': 'https://img.hhcdn.ru/employer-logo/6623717.png', '240': 'https://img.hhcdn.ru/employer-logo/6623718.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10894499', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Опыт работ персональным ассистентом собственника бизнеса не менее пяти лет. Быть на связи 24/7. Готовность решать новые/незнакомые задачи. ', 'responsibility': '...и поручений, анализ проблем. Отслеживание своевременного выполнения задач исполнителями. Освобождение руководителя от рутинных задач. Выполнение личных поручений. Координация <highlighttext>домашнего</highlighttext> <highlighttext>персонала</highlighttext>.'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '110', 'name': 'Секретарь, помощник руководителя, ассистент'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,111974769,False,Помощник руководителя (Family office),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 150000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Ленинградский проспект', 'building': '15с10', 'lat': 55.780846, 'lng': 37.570051, 'description': None, 'raw': 'Москва, Ленинградский проспект, 15с10', 'metro': {'station_name': 'Белорусская', 'line_name': 'Замоскворецкая', 'station_id': '2.19', 'line_id': '2', 'lat': 55.777439, 'lng': 37.582107}, 'metro_stations': [{'station_name': 'Белорусская', 'line_name': 'Замоскворецкая', 'station_id': '2.19', 'line_id': '2', 'lat': 55.777439, 'lng': 37.582107}, {'station_name': 'Белорусская', 'line_name': 'Кольцевая', 'station_id': '5.20', 'line_id': '5', 'lat': 55.775179, 'lng': 37.582303}, {'station_name': 'Белорусская', 'line_name': 'МЦД-1', 'station_id': '131.700', 'line_id': '131', 'lat': 55.775179, 'lng': 37.582303}], 'id': '14176434'}",,,2024-12-26T15:46:11+0300,2024-12-26T15:46:11+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=111974769,,https://api.hh.ru/vacancies/111974769?host=hh.ru,https://hh.ru/vacancy/111974769,[],"{'id': '8892807', 'name': 'Дрожь Бьюти', 'url': 'https://api.hh.ru/employers/8892807', 'alternate_url': 'https://hh.ru/employer/8892807', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/5488321.png', '90': 'https://img.hhcdn.ru/employer-logo/5488320.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/967301.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=8892807', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Идеальный кандидат: Имеет опыт работы личным или бизнес-ассистентом от 3 лет.', 'responsibility': '...руководителя и семьи (личные и бизнес ассистенты, Travel, водитель, <highlighttext>домашний</highlighttext> <highlighttext>персонал</highlighttext> и т.д.). Поддержание благоприятной атмосферы в коллективе. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '110', 'name': 'Секретарь, помощник руководителя, ассистент'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
